District ID,District Name,School ID,School Name,F5,School Year,Total,4 Year Olds Program,F9,Early Kindergarten,Kindergarten,Total K,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Table Name,School year (fall),School Name (group)
1052,East Millinocket Public Schools,1227,Schenck High School,null,2006-07,198,-,null,-,null,-,null,null,null,null,null,null,null,null,54,51,46,47,2006-2007.csv,9/1/06,Schenck High School
1053,Easton Public Schools,1228,Easton Junior-Senior High Sch,null,2006-07,95,-,null,-,null,-,null,null,null,null,null,null,22,16,16,11,11,19,2006-2007.csv,9/1/06,Easton Junior-Senior High Sch
1054,Eastport Public Schools,1231,Shead High School,null,2006-07,135,-,null,-,null,-,null,null,null,null,null,null,null,null,36,39,23,37,2006-2007.csv,9/1/06,Shead High School
1056,Ellsworth Public Schools,1233,General Bryant E Moore School,null,2006-07,229,-,null,-,null,-,null,null,67,88,74,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,General Bryant E Moore School
1056,Ellsworth Public Schools,1235,Ellsworth Middle School,null,2006-07,276,-,null,-,null,-,null,null,null,null,null,97,91,88,null,null,null,null,2006-2007.csv,9/1/06,Ellsworth Middle School
1056,Ellsworth Public Schools,1236,Ellsworth High School,null,2006-07,596,-,null,-,null,-,null,null,null,null,null,null,null,null,145,136,165,150,2006-2007.csv,9/1/06,Ellsworth High School
1057,Falmouth Public Schools,1239,Plummer-Motz School,null,2006-07,328,-,null,-,null,-,null,null,164,164,null,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Plummer-Motz School
1057,Falmouth Public Schools,1240,Falmouth High School,null,2006-07,647,-,null,-,null,-,null,null,null,null,null,null,null,null,176,162,155,154,2006-2007.csv,9/1/06,Falmouth High School
1057,Falmouth Public Schools,1241,Falmouth Middle School,null,2006-07,749,-,null,-,null,-,null,null,null,null,197,184,196,172,null,null,null,null,2006-2007.csv,9/1/06,Falmouth Middle School
1060,Freeport School Department,1244,Freeport High School,null,2006-07,441,-,null,-,null,-,null,null,null,null,null,null,null,null,96,118,124,103,2006-2007.csv,9/1/06,Freeport High School
1060,Freeport School Department,1245,Freeport Middle School,null,2006-07,266,-,null,-,null,-,null,null,null,null,null,80,85,101,null,null,null,null,2006-2007.csv,9/1/06,Freeport Middle School
1060,Freeport School Department,1246,Mast Landing School,null,2006-07,267,-,null,-,null,-,null,null,82,89,96,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Mast Landing School
