Receipt Amount,Recipient candidate,Recipient committee,City,State,Contributor name,Contributor type,Employer,Description,Date
$500 ,Fredette,Leadership For Maine's Future,Washington,DC,Honeywell International PAC,Business,,,10/10/08
$500 ,Fredette,Leadership For Maine's Future,Montreal,QC,St. Lawrence & Atlantic Rr,Business,,,10/10/08
$500 ,Fredette,Leadership For Maine's Future,West Point,PA,"Merck & Co., Inc.",Business,,,10/14/08
$500 ,Fredette,Leadership For Maine's Future,Bangor,ME,Dysart's Service,Business,,,10/16/08
$500 ,Fredette,Leadership For Maine's Future,Washington,DC,Distilled Spirits Council,Business,,,10/20/08
$500 ,Fredette,Leadership For Maine's Future,St. Louis,MO,Monsanto Company,Business,,,10/23/08
$500 ,Fredette,Leadership For Maine's Future,Bangor,ME,Dysart's Service,Business,,,10/31/08
$500 ,Fredette,Leadership For Maine's Future,Scarborough,ME,Spectrum Medical Group,Business,,,11/3/08
$500 ,Fredette,Leadership For Maine's Future,Edmundston,NB,"Fraser Papers - Fps Canada, Inc.",Business,,,11/7/08
$500 ,Fredette,Leadership For Maine's Future,Houston,TX,"Algonquin Gas Transmission, Llc",Business,,,11/13/08
$500 ,Fredette,Leadership For Maine's Future,New York,NY,"International Council Of Shopping Centers, Inc.",Business,,,11/13/08
$500 ,Fredette,Leadership For Maine's Future,Boston,MA,"Northern Lng, Llc",Business,,,12/7/15
$500 ,Fredette,Leadership For Maine's Future,Columbia Falls,MT,Plum Creek,Business,,,12/11/15
$500 ,Fredette,Leadership For Maine's Future,Bangor,ME,Eaton Peabody,Business,,,12/14/15
$500 ,Fredette,Leadership For Maine's Future,Portsmouth,NH,"Ocean Properties, Ltd.",Business,,,12/15/15
$500 ,Fredette,Leadership For Maine's Future,Littleton,CO,Summit Natural Gas Of Maine,Business,,,12/18/15
$500 ,Fredette,Leadership For Maine's Future,Houston,TX,"Spectra Energy Transmission, Llc",Business,,,12/21/15
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,Mitchell Tardy,Business,,,12/21/15
$500 ,Fredette,Leadership For Maine's Future,Bentonville,AR,"Wal-mart Stores, Inc",Business,,,10/24/14
$500 ,Fredette,Leadership For Maine's Future,Gardiner,ME,Pine State Trading Co.,Business,,,10/24/14
$500 ,Fredette,Leadership For Maine's Future,Houston,TX,Waste Management,Business,,,10/27/14
$500 ,Fredette,Leadership For Maine's Future,St. Louis,MO,"Express Scripts, Inc.",Business,,,11/2/15
$500 ,Fredette,Leadership For Maine's Future,Littleton,CO,Summit Natural Gas Of Maine,Business,,,10/30/14
$500 ,Fredette,Leadership For Maine's Future,New York,NY,"Pfizer, Inc.",Business,,,5/22/08
$500 ,Fredette,Leadership For Maine's Future,Hampden,ME,Edwards Family Shop & Save,Business,,,9/30/10
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,Pierce Atwood Llp,Business,,,5/26/10
$500 ,Fredette,Leadership For Maine's Future,Brunswick,ME,Maine Oil Dealers Association Energy PAC For Maine,Business,,,7/9/08
$500 ,Fredette,Leadership For Maine's Future,Stillwater,ME,Sargent Corporation,Business,,,7/21/08
$500 ,Fredette,Leadership For Maine's Future,Contoocook,NH,Tds Telecommunications Corporation PAC,Business,,,7/21/08
$500 ,Fredette,Leadership For Maine's Future,Cincinnati,OH,Anthem Blue Cross And Blue Shield,Business,,,7/30/08
$500 ,Fredette,Leadership For Maine's Future,South Portland,ME,Fairpoint Communications,Business,,,8/14/08
$500 ,Fredette,Leadership For Maine's Future,West Point,PA,"Merck & Co., Inc.",Business,,,8/15/08
$500 ,Fredette,Leadership For Maine's Future,Cincinnati,OH,Anthem Blue Cross And Blue Shield,Business,,,12/2/14
$500 ,Fredette,Leadership For Maine's Future,Pittsfield,ME,Cianbro,Business,,,12/2/14
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Maine Real Estate & Development Association,Business,,,12/2/14
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Maine Credit Union League,Business,,,12/2/14
$500 ,Fredette,Leadership For Maine's Future,Boston,MA,Serlin Haley Llp,Business,,,7/27/15
$500 ,Fredette,Leadership For Maine's Future,Pittsfield,ME,Cianbro,Business,,,7/27/15
$500 ,Fredette,Leadership For Maine's Future,Portsmouth,NH,"Ocean Properties, Ltd.",Business,,,7/27/15
$500 ,Fredette,Leadership For Maine's Future,Scarborough,ME,North East Mobile Health Services,Business,,,7/27/15
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,Maine Street Solutions,Business,,,10/6/09
$500 ,Fredette,Leadership For Maine's Future,St. Louis,MO,"Express Scripts, Inc.",Business,,,6/20/14
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Bernstein Shur,Business,,,7/21/14
$500 ,Fredette,Leadership For Maine's Future,Herndon,VA,"K12 Management, Inc.",Business,,,7/28/14
$500 ,Fredette,Leadership For Maine's Future,Boston,MA,Serlin Haley Llp,Business,,,8/9/17
$500 ,Fredette,Leadership For Maine's Future,Portsmouth,NH,"Ocean Properties, Ltd.",Business,,,8/15/17
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Pierce Atwood Llp,Business,,,8/15/17
$500 ,Fredette,Leadership For Maine's Future,Bangor,ME,Fairpoint Communications,Business,,,8/17/17
$500 ,Fredette,Leadership For Maine's Future,Pittsfield,ME,Cianbro,Business,,,8/28/17
$500 ,Fredette,Leadership For Maine's Future,Washington,DC,American Chemistry Council,Business,,,12/29/17
$500 ,Fredette,Leadership For Maine's Future,Washington,DC,American Chemistry Council,Business,,,12/29/17
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Drummond Woodsum & Macmahon,Business,,,10/8/14
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,Maine Beer & Wine Wholesalers Association,Business,,,10/8/14
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Verrill Dana Llp,Business,,,10/14/14
$500 ,Fredette,Leadership For Maine's Future,Pittsfield,ME,Cianbro,Business,,,11/30/10
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,Maine Beer & Wine Wholesalers Association,Business,,,11/30/10
$500 ,Fredette,Leadership For Maine's Future,Hallowell,ME,Maine Governmental Relations,Business,,,6/4/10
$500 ,Fredette,Leadership For Maine's Future,Montreal,QC,St. Lawrence & Atlantic Rr,Business,,,6/4/10
$500 ,Fredette,Leadership For Maine's Future,Long Beach,CA,"Molina Healthcare, Inc.",Business,,,8/16/12
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Verrill Dana Llp,Business,,,9/28/12
$500 ,Fredette,Leadership For Maine's Future,Columbia,MD,Aps Healthcare,Business,,,10/15/12
$500 ,Fredette,Leadership For Maine's Future,Houston,TX,"Spectra Energy Transmission, Llc",Business,,,10/20/14
$500 ,Fredette,Leadership For Maine's Future,Norwalk,CT,"Diageo North America, Inc.",Business,,,10/19/12
$500 ,Fredette,Leadership For Maine's Future,Washington,DC,American Chemistry Council,Business,,,8/14/15
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Bernstein Shur,Business,,CONTRIBUTION,5/19/16
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Preti Flaherty,Business,,,12/16/13
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,Fmj Government Affairs,Business,,,12/16/13
$500 ,Fredette,Leadership For Maine's Future,St. Louis,MO,"Express Scripts, Inc.",Business,,,12/26/13
$500 ,Fredette,Leadership For Maine's Future,Pittsfield,ME,Cianbro,Business,,,1/6/14
$500 ,Fredette,Leadership For Maine's Future,Houston,TX,Universal American,Business,,,1/6/14
$500 ,Fredette,Leadership For Maine's Future,Houston,TX,Waste Management,Business,,,1/6/14
$500 ,Fredette,Leadership For Maine's Future,Austin,TX,Visa U.S.A. Inc.,Business,,,1/6/14
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Maine Credit Union League,Business,,,1/8/14
$500 ,Fredette,Leadership For Maine's Future,Auburn,ME,Remedy Compassion Center,Business,,,1/10/14
$500 ,Fredette,Leadership For Maine's Future,Rensselaer,NY,Retail Lumber Dealers Association Of Maine PAC,Business,,CONTRIBUTION,10/11/16
$500 ,Fredette,Leadership For Maine's Future,Norwalk,CT,"Diageo North America, Inc.",Business,,CONTRIBUTION,10/11/16
$500 ,Fredette,Leadership For Maine's Future,Boston,MA,Serlin Haley Llp,Business,,,6/3/14
$500 ,Fredette,Leadership For Maine's Future,Bangor,ME,Emera,Business,,,6/3/14
$500 ,Fredette,Leadership For Maine's Future,Montreal,QC,St. Lawrence & Atlantic Rr,Business,,,6/3/14
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Pierce Atwood Llp,Business,,CONTRIBUTION,8/31/16
$500 ,Fredette,Leadership For Maine's Future,South Portland,ME,Fairpoint Communications,Business,,,8/8/14
$500 ,Fredette,Leadership For Maine's Future,Long Beach,CA,"Molina Healthcare, Inc.",Business,,,8/18/14
$500 ,Fredette,Leadership For Maine's Future,Orrington,ME,Penobscot Energy Recovery Company,Business,,,11/5/09
$500 ,Fredette,Leadership For Maine's Future,Houston,TX,Waste Management,Business,,,11/9/09
$500 ,Fredette,Leadership For Maine's Future,Houston,TX,"Algonquin Gas Transmission, Llc",Business,,,12/16/09
$500 ,Fredette,Leadership For Maine's Future,Cincinnati,OH,Anthem Blue Cross And Blue Shield,Business,,,12/23/09
$500 ,Fredette,Leadership For Maine's Future,Washington,DC,American Chemistry Council,Business,,,9/15/14
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,Medical Marijuana Caregivers Of Maine,Business,,,9/25/14
$500 ,Fredette,Leadership For Maine's Future,Norwalk,CT,"Diageo North America, Inc.",Business,,,9/25/14
$500 ,Fredette,Leadership For Maine's Future,Pittsfield,ME,Cianbro,Business,,,9/25/14
$500 ,Fredette,Leadership For Maine's Future,San Francisco,CA,Visa U.S.A. Inc.,Business,,,10/29/12
$500 ,Fredette,Leadership For Maine's Future,Cincinnati,OH,Anthem Blue Cross And Blue Shield,Business,,,11/1/12
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Maine Real Estate & Development Association,Business,,,1/4/16
$500 ,Fredette,Leadership For Maine's Future,Winston-salem,NC,Rai Services Company,Business,,,1/4/16
$500 ,Fredette,Leadership For Maine's Future,Bangor,ME,"Bangor Historic Track, Inc./hollywood Slots Hotel & Raceway",Business,,,1/4/16
$500 ,Fredette,Leadership For Maine's Future,Manchester,ME,Maine Society Of Anesthesiologist PAC,Business,,,1/4/16
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Verrill Dana Llp,Business,,,1/4/16
$500 ,Fredette,Leadership For Maine's Future,Boston,MA,At&t,Business,,,1/4/16
$500 ,Fredette,Leadership For Maine's Future,Columbia Falls,MT,Plum Creek,Business,,,11/3/14
$500 ,Fredette,Leadership For Maine's Future,Brunswick,ME,Maine Energy Marketers Association,Business,,,7/1/16
$500 ,Fredette,Leadership For Maine's Future,Boston,MA,"Northern Lng, Llc",Business,,CONTRIBUTION,7/20/16
$500 ,Fredette,Leadership For Maine's Future,Charlotte,NC,"Merck & Co., Inc.",Business,,,10/15/13
$500 ,Fredette,Leadership For Maine's Future,Wilmington,DE,Astrazeneca,Business,,,10/22/13
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,Medical Marijuana Caregivers Of Maine,Business,,,11/6/13
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,Mea Fund In Support Of Public Education,Business,,,11/6/13
$500 ,Fredette,Leadership For Maine's Future,Hallowell,ME,Maine Beverage Association,Business,,,11/6/13
$500 ,Fredette,Leadership For Maine's Future,Norwalk,CT,"Diageo North America, Inc.",Business,,,11/6/13
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,Pierce Atwood Llp,Business,,,11/6/13
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Verrill Dana Llp,Business,,,11/6/13
$500 ,Fredette,Leadership For Maine's Future,Plymouth,ME,"Soil Preparation, Inc.",Business,,,11/6/13
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Maine Real Estate & Development Association,Business,,,11/6/13
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Maine Credit Union League,Business,,,11/6/13
$500 ,Fredette,Leadership For Maine's Future,Fayette,ME,"Resource Policy Group, Inc.",Business,,,11/6/13
$500 ,Fredette,Leadership For Maine's Future,Portsmouth,NH,Macino Llc,Business,,,11/6/13
$500 ,Fredette,Leadership For Maine's Future,New Brunswick,NJ,Johnson & Johnson Corporate Political Fund,Business,,,11/12/13
$500 ,Fredette,Leadership For Maine's Future,Washington,DC,Anheuser Busch,Business,,,11/12/13
$500 ,Fredette,Leadership For Maine's Future,Herndon,VA,"K12 Management, Inc.",Business,,,11/21/13
$500 ,Fredette,Leadership For Maine's Future,Orlando,FL,"Gmri, Inc.",Business,,,12/5/13
$500 ,Fredette,Leadership For Maine's Future,Lincoln,ME,"Lincoln Paper And Tissue, Llc",Business,,,10/15/09
$450 ,Fredette,Leadership For Maine's Future,Limerick,ME,"Maine Aggregate Assocation, Inc.",Business,,,9/25/08
$450 ,Fredette,Leadership For Maine's Future,Whitehouse Station,NJ,"Merck & Co., Inc.",Business,,,6/21/10
$400 ,Mason,Charting Maine's Future,West Roxbury,MA,"Merck & Co., Inc.",Business,,,10/25/17
$400 ,Fredette,Leadership For Maine's Future,Knox,ME,Aghaloma Farms,Business,,,7/17/08
$400 ,Fredette,Leadership For Maine's Future,Hampden,ME,The Cushing Family Corporation,Business,,,11/23/09
$375 ,Mason,Charting Maine's Future,Bangor,ME,Maine Distributors,Business,,,10/29/14
$350 ,Fredette,Leadership For Maine's Future,Hartford,CT,Aetna,Business,,,9/15/14
$300 ,Mason,Charting Maine's Future,Bellevue,WA,T Mobile,Business,,,11/16/15
$300 ,Fredette,Leadership For Maine's Future,Wilmington,DE,Astrazeneca,Business,,,10/16/08
$270 ,Fredette,Leadership For Maine's Future,Augusta,ME,Medical Marijuana Caregivers Of Maine,Business,,,12/2/14
$250 ,Mason,Charting Maine's Future,Lincoln,RI,Caremark Rx Inc,Business,,,10/31/16
$250 ,Mason,Charting Maine's Future,Boston,MA,At&t,Business,,,11/21/16
$250 ,Mason,Charting Maine's Future,San Francisco,CA,Sunrun Incorporated,Business,,,12/1/16
$250 ,Mason,Charting Maine's Future,Austin,TX,Visa U.S.A. Inc.,Business,,,11/23/15
$250 ,Mason,Charting Maine's Future,Tulsa,OK,Verizon,Business,,,10/1/15
$250 ,Mason,Charting Maine's Future,Augusta,ME,"Maine Automobile Dealers Assn., Inc.",Business,,,10/1/15
$250 ,Mason,Charting Maine's Future,Portland,ME,Maine Youth Camp Association,Business,,,11/11/15
$250 ,Mason,Charting Maine's Future,Washington,DC,American Chemistry Council,Business,,,10/28/14
$250 ,Mason,Charting Maine's Future,Bentonville,AK,"Wal-mart Stores, Inc",Business,,,10/29/14
$250 ,Mason,Charting Maine's Future,Hampden,ME,Pdq Door,Business,,,10/29/14
$250 ,Mason,Charting Maine's Future,Portland,ME,Northeast Patients Group Dba Wellness Connection Of Maine,Business,,,12/28/17
$250 ,Mason,Charting Maine's Future,Tulsa,OK,Verizon,Business,,,11/18/14
$250 ,Mason,Charting Maine's Future,Bangor,ME,Eaton Peabody,Business,,,8/7/15
$250 ,Mason,Charting Maine's Future,Augusta,ME,Law Offices Of Doyle & Nelson,Business,,,8/12/15
$250 ,Mason,Charting Maine's Future,Springvale,ME,"H.A. Mapes, Inc.",Business,,,8/12/15
$250 ,Mason,Charting Maine's Future,Atlanta,GA,Logisticare Solutions,Business,,,8/1/14
$250 ,Mason,Charting Maine's Future,Fayette,ME,"Resource Policy Group, Inc.",Business,,,8/1/14
$250 ,Mason,Charting Maine's Future,Athens,ME,Maine Matters,Business,,,7/28/17
$250 ,Mason,Charting Maine's Future,Springvale,ME,"H.A. Mapes, Inc.",Business,,,8/16/17
$250 ,Mason,Charting Maine's Future,Augusta,ME,Pierce Atwood Llp,Business,,,8/21/17
$250 ,Mason,Charting Maine's Future,Chattanooga,TN,Unum,Business,,,8/29/17
$250 ,Mason,Charting Maine's Future,Athens,ME,Maine Matters,Business,,,8/29/17
$250 ,Mason,Charting Maine's Future,Portland,ME,Maine Real Estate & Development Association,Business,,,9/6/17
$250 ,Mason,Charting Maine's Future,Bangor,ME,Eaton Peabody,Business,,,9/22/17
$250 ,Mason,Charting Maine's Future,Portland,ME,Verrill Dana Llp,Business,,,10/6/14
$250 ,Mason,Charting Maine's Future,Oakland,ME,"Valley Distributors, Inc.",Business,,,10/10/14
$250 ,Mason,Charting Maine's Future,Gorham,ME,Nappi Distributors,Business,,,10/10/14
$250 ,Mason,Charting Maine's Future,Bangor,ME,Maine Distributors,Business,,,10/10/14
$250 ,Mason,Charting Maine's Future,South Portland,ME,"National Distributors, Inc.",Business,,,10/10/14
$250 ,Mason,Charting Maine's Future,West Roxbury,MA,"Merck & Co., Inc.",Business,,,8/3/12
$250 ,Mason,Charting Maine's Future,Norwalk,CT,Diageo,Business,,,9/17/12
$250 ,Mason,Charting Maine's Future,Washington,DC,American Insurance Association,Business,,,8/17/15
$250 ,Mason,Charting Maine's Future,Atlanta,GA,Logisticare Solutions,Business,,,8/31/15
$250 ,Mason,Charting Maine's Future,Augusta,ME,Pierce Atwood Llp,Business,,,5/16/16
$250 ,Mason,Charting Maine's Future,Bangor,ME,Eaton Peabody,Business,,,5/18/16
$250 ,Mason,Charting Maine's Future,Auburn,ME,"M And K Properties, Llc",Business,,,6/9/16
$250 ,Mason,Charting Maine's Future,Bellevue,WA,T Mobile,Business,,,9/22/16
$250 ,Mason,Charting Maine's Future,Washington,DC,American Chemistry Council,Business,,,10/14/16
$250 ,Mason,Charting Maine's Future,Long Beach,CA,"Molina Healthcare, Inc.",Business,,,10/14/16
$250 ,Mason,Charting Maine's Future,Boston,MA,"Northern Lng, Llc",Business,,,7/26/16
$250 ,Mason,Charting Maine's Future,Tulsa,OK,Verizon,Business,,,9/10/16
$250 ,Mason,Charting Maine's Future,St. Louis,MO,"Express Scripts, Inc.",Business,,,10/24/17
$250 ,Mason,Charting Maine's Future,Springvale,ME,"H.A. Mapes, Inc.",Business,,,8/5/14
$250 ,Mason,Charting Maine's Future,Augusta,ME,Fmj Government Affairs,Business,,,8/5/14
$250 ,Mason,Charting Maine's Future,Gorham,ME,Real Estate Holdings Llc,Business,,,8/6/14
$250 ,Mason,Charting Maine's Future,South Portland,ME,Fairpoint Communications,Business,,,8/7/14
$250 ,Mason,Charting Maine's Future,Portland,ME,Friends Of Maine Hospitals,Business,,,8/11/14
$250 ,Mason,Charting Maine's Future,Portland,ME,Bernstein Shur,Business,,,9/1/14
$250 ,Mason,Charting Maine's Future,Bangor,ME,Village Car Co Quirk Chevrolet Caddillac Of Bangor,Business,,,11/3/14
$250 ,Mason,Charting Maine's Future,Houston,TX,Waste Management,Business,,,11/3/14
$250 ,Mason,Charting Maine's Future,Houston,TX,"Spectra Energy Transmission, Llc",Business,,,11/3/14
$250 ,Mason,Charting Maine's Future,Portland,ME,Maine Real Estate & Development Association,Business,,,6/20/16
$250 ,Mason,Charting Maine's Future,Portland,ME,Drummond Woodsum & Macmahon,Business,,,10/8/13
$250 ,Mason,Charting Maine's Future,Augusta,ME,Law Offices Of Doyle & Nelson,Business,,,10/16/13
$250 ,Mason,Charting Maine's Future,Portland,ME,Bernstein Shur,Business,,,10/18/13
$250 ,Mason,Charting Maine's Future,Lewiston,ME,"Central Distributors, Inc.",Business,,,10/22/13
$250 ,Mason,Charting Maine's Future,Portland,ME,Maine Brewers Guild,Business,,,10/30/13
$250 ,Fredette,Leadership For Maine's Future,Manchester,ME,Maine Dental PAC,Business,,,9/3/08
$250 ,Fredette,Leadership For Maine's Future,Portland,ME,Drummond Woodsum & Macmahon,Business,,,10/20/09
$250 ,Fredette,Leadership For Maine's Future,Newport,ME,Maine Choice Realty,Business,,,9/24/08
$250 ,Fredette,Leadership For Maine's Future,Augusta,ME,Maine Optometric Association PAC,Business,,,10/1/08
$250 ,Fredette,Leadership For Maine's Future,Allentown,PA,Ims - Shared Business Service,Business,,,11/3/08
$250 ,Fredette,Leadership For Maine's Future,Dover-foxcroft,ME,"Pleasant River Partners, Llc",Business,,,11/5/08
$250 ,Fredette,Leadership For Maine's Future,Indianapolis,IN,Eli Lilly And Company,Business,,,11/20/08
$250 ,Fredette,Leadership For Maine's Future,Chicago,IL,Personal Watercraft Industry Assn.,Business,,,12/3/08
$250 ,Fredette,Leadership For Maine's Future,Portland,ME,Pierce Atwood Llp,Business,,,12/17/15
$250 ,Fredette,Leadership For Maine's Future,Augusta,ME,"Maine Automobile Dealers Assn., Inc.",Business,,,9/28/15
$250 ,Fredette,Leadership For Maine's Future,Memphis,TN,"Pfizer, Inc.",Business,,,10/24/14
$250 ,Fredette,Leadership For Maine's Future,Manchester,ME,Maine Dental Political Action Committee,Business,,,7/10/08
$250 ,Fredette,Leadership For Maine's Future,Augusta,ME,Mea Fund In Support Of Public Education,Business,,,12/2/14
$250 ,Fredette,Leadership For Maine's Future,Springvale,ME,"H.A. Mapes, Inc.",Business,,,7/27/15
$250 ,Fredette,Leadership For Maine's Future,Portland,ME,Pierce Atwood Llp,Business,,,7/27/15
$250 ,Fredette,Leadership For Maine's Future,Bangor,ME,Eaton Peabody,Business,,,7/27/15
$250 ,Fredette,Leadership For Maine's Future,Augusta,ME,"Maine Automobile Dealers Assn., Inc.",Business,,,7/17/14
$250 ,Fredette,Leadership For Maine's Future,Readfield,ME,"Merrill's Investigations And Security, Llc",Business,,,8/22/17
$250 ,Fredette,Leadership For Maine's Future,Boston,MA,Verizon,Business,,,12/29/17
$250 ,Fredette,Leadership For Maine's Future,Boston,MA,At&t,Business,,,12/29/17
$250 ,Fredette,Leadership For Maine's Future,Washington,DC,Visa U.S.A. Inc.,Business,,,12/29/17
$250 ,Fredette,Leadership For Maine's Future,Portland,ME,Verrill Dana Llp,Business,,,12/29/17
$250 ,Fredette,Leadership For Maine's Future,Tulsa,OK,Verizon,Business,,,10/14/14
$250 ,Fredette,Leadership For Maine's Future,Bangor,ME,Maine Distributors,Business,,,11/1/10
$250 ,Fredette,Leadership For Maine's Future,Augusta,ME,Me Truckpac,Business,,,11/16/10
$250 ,Fredette,Leadership For Maine's Future,Augusta,ME,"Maine Automobile Dealers Assn., Inc.",Business,,,11/16/10
$250 ,Fredette,Leadership For Maine's Future,Hallowell,ME,Maine Tomorrow,Business,,,6/10/10
$250 ,Fredette,Leadership For Maine's Future,Augusta,ME,"James F. Mitchell Company, Llc",Business,,,7/9/10
$250 ,Fredette,Leadership For Maine's Future,Lisle,IL,"Mccain Foods Usa, Inc.",Business,,,7/20/10
$250 ,Fredette,Leadership For Maine's Future,Hallowell,ME,Maine Tourism Association,Business,,,10/20/14
$250 ,Fredette,Leadership For Maine's Future,Portland,ME,Pierce Atwood Llp,Business,,CONTRIBUTION,5/12/16
$250 ,Fredette,Leadership For Maine's Future,Augusta,ME,"Maine Automobile Dealers Assn., Inc.",Business,,CONTRIBUTION,5/25/16
$250 ,Fredette,Leadership For Maine's Future,Bangor,ME,Eaton Peabody,Business,,CONTRIBUTION,5/26/16
$250 ,Fredette,Leadership For Maine's Future,Littleton,CO,Summit Natural Gas Of Maine,Business,,,12/16/13
$250 ,Fredette,Leadership For Maine's Future,Folsom,CA,Verizon,Business,,,12/16/13
$250 ,Fredette,Leadership For Maine's Future,Louisville,KY,Churchill Downs,Business,,,12/23/13
$250 ,Fredette,Leadership For Maine's Future,Bangor,ME,Fairpoint Communications,Business,,,1/2/14
$250 ,Fredette,Leadership For Maine's Future,Memphis,TN,"Pfizer, Inc.",Business,,,1/13/14
$250 ,Fredette,Leadership For Maine's Future,Portland,ME,Bernstein Shur,Business,,CONTRIBUTION,9/26/16
$250 ,Fredette,Leadership For Maine's Future,Augusta,ME,Industrial Energy Consumer Group,Business,,CONTRIBUTION,9/29/16
$250 ,Fredette,Leadership For Maine's Future,Long Beach,CA,"Molina Healthcare, Inc.",Business,,CONTRIBUTION,10/11/16
$250 ,Fredette,Leadership For Maine's Future,Washington,DC,American Chemistry Council,Business,,CONTRIBUTION,10/11/16
$250 ,Fredette,Leadership For Maine's Future,Tulsa,OK,Verizon,Business,,CONTRIBUTION,10/11/16
$250 ,Fredette,Leadership For Maine's Future,Whitehouse Station,NJ,"Merck & Co., Inc.",Business,,CONTRIBUTION,10/17/16
$250 ,Fredette,Leadership For Maine's Future,Portland,ME,Verrill Dana Llp,Business,,CONTRIBUTION,10/21/16
$250 ,Fredette,Leadership For Maine's Future,Bangor,ME,Eaton Peabody,Business,,,5/27/14
$250 ,Fredette,Leadership For Maine's Future,Augusta,ME,Pierce Atwood Llp,Business,,,6/2/14
$250 ,Fredette,Leadership For Maine's Future,Minneapolis,MN,"Usa Energy Group, Llc",Business,,,6/3/14
$250 ,Fredette,Leadership For Maine's Future,Harrisburg,PA,Rite Aid Headquarters Corp.,Business,,,6/3/14
$250 ,Fredette,Leadership For Maine's Future,Pittsfield,ME,Cianbro,Business,,,6/5/14
$250 ,Fredette,Leadership For Maine's Future,Franklin Lakes,NJ,"Express Scripts, Inc.",Business,,,11/17/17
$250 ,Fredette,Leadership For Maine's Future,South Portland,ME,Spectrum Medical Group,Business,,,8/18/14
$250 ,Fredette,Leadership For Maine's Future,Wilmington,DE,Astrazeneca,Business,,,11/25/09
$250 ,Fredette,Leadership For Maine's Future,Bedminster,NJ,At&t,Business,,,12/29/09
$250 ,Fredette,Leadership For Maine's Future,Portland,ME,Preti Flaherty,Business,,,9/16/14
$250 ,Fredette,Leadership For Maine's Future,Bangor,ME,Eaton Peabody,Business,,,9/24/14
$250 ,Fredette,Leadership For Maine's Future,Augusta,ME,"Howe Management Co., Inc",Business,,,9/25/14
$250 ,Fredette,Leadership For Maine's Future,Portland,ME,Maine Affordable Housing Coalition,Business,,,9/25/14
$250 ,Fredette,Leadership For Maine's Future,Boston,MA,At&t,Business,,,9/25/14
$250 ,Fredette,Leadership For Maine's Future,Berwick,ME,Berwick Iron & Metal Recycling,Business,,,9/25/14
$250 ,Fredette,Leadership For Maine's Future,New Orleans,LA,Advantage Capital Management Corp.,Business,,,11/1/12
$250 ,Fredette,Leadership For Maine's Future,Augusta,ME,Mitchell Tardy,Business,,,11/1/12
$250 ,Fredette,Leadership For Maine's Future,Columbus,OH,"Stonehenge Capital Company, Llc",Business,,,11/1/12
$250 ,Fredette,Leadership For Maine's Future,Houston,TX,"Spectra Energy Transmission, Llc",Business,,,11/1/12
$250 ,Fredette,Leadership For Maine's Future,Tulsa,OK,Verizon,Business,,,1/4/16
$250 ,Fredette,Leadership For Maine's Future,Portland,ME,Maine Real Estate & Development Association,Business,,,6/29/16
$250 ,Fredette,Leadership For Maine's Future,Bangor,ME,Bangor Hydro,Business,,,11/6/13
$250 ,Fredette,Leadership For Maine's Future,Augusta,ME,"Maine Automobile Dealers Assn., Inc.",Business,,,11/6/13
$250 ,Fredette,Leadership For Maine's Future,Portland,ME,Unum,Business,,,10/15/09
$225 ,Mason,Charting Maine's Future,Brunswick,ME,Dba Steven C Levy Consulting Llc,Business,,,8/24/15
$200 ,Mason,Charting Maine's Future,West Roxbury,MA,"Merck & Co., Inc.",Business,,,8/29/14
$200 ,Mason,Charting Maine's Future,Lewiston,ME,Federal Distributions Inc.,Business,,,10/10/13
$200 ,Mason,Charting Maine's Future,Bangor,ME,Maine Distributors,Business,,,10/10/13
$200 ,Mason,Charting Maine's Future,Oakland,ME,"Valley Distributors, Inc.",Business,,,10/10/13
$200 ,Mason,Charting Maine's Future,South Portland,ME,"National Distributors, Inc.",Business,,,10/11/13
$200 ,Mason,Charting Maine's Future,Gardiner,ME,Pine State Trading Co.,Business,,,10/18/13
$200 ,Fredette,Leadership For Maine's Future,Newport,ME,T.J.'s Jewelry,Business,,,9/3/08
