Receipt Amount,Recipient candidate,Recipient committee,City,State,Contributor name,Contributor type,Employer,Description,Date
"$1,200 ",Fredette,Leadership For Maine's Future,Bangor,ME,Maine Distributors,Business,,,7/7/08
"$1,000 ",Mason,Charting Maine's Future,Bentonville,AK,"Wal-mart Stores, Inc",Business,,,11/1/16
"$1,000 ",Mason,Charting Maine's Future,Houston,TX,"Spectra Energy Transmission, Llc",Business,,,11/25/15
"$1,000 ",Mason,Charting Maine's Future,Bangor,ME,Hc Bangor Llc,Business,,,10/13/15
"$1,000 ",Mason,Charting Maine's Future,Herndon,VA,"K12 Management, Inc.",Business,,,11/4/15
"$1,000 ",Mason,Charting Maine's Future,Winston-salem,NC,Rai Services Company,Business,,,12/12/17
"$1,000 ",Mason,Charting Maine's Future,Cincinnati,OH,Anthem Blue Cross And Blue Shield,Business,,,12/15/17
"$1,000 ",Mason,Charting Maine's Future,Norwalk,CT,Diageo,Business,,,8/1/14
"$1,000 ",Mason,Charting Maine's Future,Portland,ME,Maine Credit Union League,Business,,,8/17/17
"$1,000 ",Mason,Charting Maine's Future,Washington,DC,Pharmaceutical Research And Manufacturers Of America,Business,,,9/19/17
"$1,000 ",Mason,Charting Maine's Future,Lewiston,ME,"Central Distributors, Inc.",Business,,,10/3/14
"$1,000 ",Mason,Charting Maine's Future,Corinna,ME,Perfect Fit,Business,,,10/16/14
"$1,000 ",Mason,Charting Maine's Future,Sacramento,CA,Students First,Business,,,10/22/12
"$1,000 ",Mason,Charting Maine's Future,Norwalk,CT,Diageo,Business,,,8/24/15
"$1,000 ",Mason,Charting Maine's Future,Washington,DC,Pharmaceutical Research And Manufacturers Of America,Business,,,8/28/15
"$1,000 ",Mason,Charting Maine's Future,Norwalk,CT,Diageo,Business,,,4/15/16
"$1,000 ",Mason,Charting Maine's Future,Boston,MA,Serlin Haley Llp,Business,,,5/16/16
"$1,000 ",Mason,Charting Maine's Future,Portland,ME,Maine Credit Union League,Business,,,5/16/16
"$1,000 ",Mason,Charting Maine's Future,Norwalk,CT,Diageo,Business,,,5/20/16
"$1,000 ",Mason,Charting Maine's Future,Portland,ME,Bernstein Shur,Business,,,9/15/15
"$1,000 ",Mason,Charting Maine's Future,Wilmington,DE,Astrazeneca,Business,,,6/9/16
"$1,000 ",Mason,Charting Maine's Future,Richmond,VA,"Altria Client Services, Inc.",Business,,,10/25/16
"$1,000 ",Mason,Charting Maine's Future,Portland,ME,Northeast Patients Group Dba Wellness Connection Of Maine,Business,,,8/15/16
"$1,000 ",Mason,Charting Maine's Future,Jersey City,NJ,Anheuser Busch,Business,,,8/15/16
"$1,000 ",Mason,Charting Maine's Future,Richmond,VA,"Altria Client Services, Inc.",Business,,,9/7/16
"$1,000 ",Mason,Charting Maine's Future,Jersey City,NJ,Anheuser Busch,Business,,,10/24/17
"$1,000 ",Mason,Charting Maine's Future,Windham,ME,"Windham Weaponry, Inc.",Business,,,9/8/14
"$1,000 ",Mason,Charting Maine's Future,Washington,DC,Pharmaceutical Research And Manufacturers Of America,Business,,,6/15/16
"$1,000 ",Mason,Charting Maine's Future,South Portland,ME,Fairpoint Communications,Business,,,6/20/16
