Amount,Candidate or committee,Candidate,Recipient,Type of contribution,Date,Employer,Occupation,Purpose,Source
$170 ,Mason,MASON GARRETT PAUL,Maine Senate Republican Majority,Personal,5/13/14,State Of Maine,Government/civil,Monetary (Itemized); Candidate / Candidate Committee,National Institute on Money in State Politics
$100 ,Mason,MASON GARRETT PAUL,Patricia J Gagne,Personal,7/24/14,State Of Maine,Government/civil; Maine Senate,Monetary (Itemized),National Institute on Money in State Politics
$100 ,Mason,MASON GARRETT PAUL,"Whittemore, Rodney L",Personal,3/30/16,Selp Employed,Real Estate Professional,,National Institute on Money in State Politics
$375 ,Mason,MASON GARRETT PAUL,Emily G Smith,Personal,5/25/16,Blank,,,National Institute on Money in State Politics
$100 ,Mason,MASON GARRETT PAUL,"Keim, Lisa M",Personal,7/5/16,State Of Maine,Government/civil,,National Institute on Money in State Politics
"$7,750 ",Charting Maine's Future,MASON GARRETT PAUL,Maine Republican Party,PAC,7/1/16,State Of Maine,Government/civil,,National Institute on Money in State Politics
$375 ,Mason,MASON GARRETT PAUL,Brian D Langley,Personal,10/21/16,Maine Senate,Government/civil,,National Institute on Money in State Politics
$375 ,Mason,MASON GARRETT PAUL,Eric L Brakey,Personal,10/24/16,Blank,; Mason For Senate,,National Institute on Money in State Politics
$375 ,Mason,MASON GARRETT PAUL,"Lebida, Guy M",Personal,10/24/16,Self Employed,Unknown,,National Institute on Money in State Politics
$375 ,Mason,MASON GARRETT PAUL,N. Laurence Willey Jr.,Personal,10/25/16,Keller Williams Realty,Real Estate Professional,,National Institute on Money in State Politics
$375 ,Mason,MASON GARRETT PAUL,Amy F Volk,Personal,10/31/16,Blank,,FROM MASON FOR SENATE,National Institute on Money in State Politics
$100 ,Mason,MASON GARRETT PAUL,Amy F Volk,Personal,11/16/16,Keller Williams Realty,Real Estate Professional,,National Institute on Money in State Politics
$310 ,Mason,MASON GARRETT PAUL,Charting Maine's Future,Personal,8/4/17,Legislator,Government/civil,Monetary (Itemized),Maine Ethics Commission
$100 ,Mason,MASON GARRETT PAUL,Garrett Paul Mason,Personal,9/25/17,State Of Maine,| Legislator,,National Institute on Money in State Politics
$100 ,Mayhew,Mayhew Mary C.,Cain For Maine,Business,10/2/10,,,Monetary (Itemized),Maine Ethics Commission
$100 ,Mayhew,Mayhew Mary C.,The Right Direction,Business,10/19/10,,,Monetary (Itemized),Maine Ethics Commission
$200 ,Mayhew,Mayhew Mary C.,Maine Senate Republican Majority,Business,11/22/10,,,Monetary (Itemized),Maine Ethics Commission
$250 ,Mayhew,Mayhew Mary C.,American Hospital Assn,Personal,11/23/99,,Maine Hospital Association,,Opensecrets.org
$250 ,Mayhew,Mayhew Mary C.,American Hospital Assn,Personal,9/22/00,,Maine Hospital Association,,Opensecrets.org
$250 ,Mayhew,Mayhew Mary C.,"Collins, Susan M",Personal,1/29/02,,Maine Hospital Association,,Opensecrets.org
$500 ,Mayhew,Mayhew Mary C.,"Michaud, Mike (d)",Personal,10/22/02,,Maine Hospital Association/lobbyist,,Opensecrets.org
$500 ,Mayhew,Mayhew Mary C.,"Snowe, Olympia (r)",Personal,12/9/05,,Maine Hospital Assoc.,,Opensecrets.org
$250 ,Mayhew,Mayhew Mary C.,"Michaud, Mike (d)",Personal,7/7/08,,Maine Hospital Association,,Opensecrets.org
$500 ,Mayhew,Mayhew Mary C.,"Baldacci, John E",Personal,2/17/96,,Consultant,,Opensecrets.org
$100 ,Mayhew,Mayhew Mary C.,"Kieffer, Robert Leo",Personal,3/12/96,,,,National Institute on Money in State Politics
$100 ,Mayhew,Mayhew Mary C.,"Amero, Jane A",Personal,3/26/96,,,,National Institute on Money in State Politics
$60 ,Mayhew,Mayhew Mary C.,Richard H Campbell,Personal,8/28/96,,Lobbyist,,National Institute on Money in State Politics
$100 ,Mayhew,Mayhew Mary C.,"Daggett, Beverly C",Personal,9/13/96,,,,National Institute on Money in State Politics
$30 ,Mayhew,Mayhew Mary C.,Richard H Campbell,Personal,9/13/96,,Lobbyists,,National Institute on Money in State Politics
$100 ,Mayhew,Mayhew Mary C.,"Fisher, Charles D",Personal,10/7/96,,Bear Wine Wholesalers Of Me,,National Institute on Money in State Politics
$200 ,Mayhew,Mayhew Mary C.,"Baldacci, John E",Personal,10/9/96,,Consultant,,Opensecrets.org
$500 ,Mayhew,Mayhew Mary C.,"Baldacci, John E",Personal,10/9/98,,Consultant,,Opensecrets.org
$150 ,Mayhew,Mayhew Mary C.,"King Jr, Angus Stanley",Personal,10/23/98,,Consultant Owner,,National Institute on Money in State Politics
$500 ,Mayhew,Mayhew Mary C.,"Baldacci, John E",Personal,11/17/99,,Consultant,,Opensecrets.org
$250 ,Mayhew,Mayhew Mary C.,"Fisher, Charles D",Personal,5/4/00,Me Hospital Assn,,,National Institute on Money in State Politics
$250 ,Mayhew,Mayhew Mary C.,"Saxl, Jane W",Personal,11/21/00,,Lobbyist,,National Institute on Money in State Politics
$500 ,Mayhew,Mayhew Mary C.,"Baldacci, John E",Personal,10/26/02,"Self,",Consultant,,National Institute on Money in State Politics
$500 ,Mayhew,Mayhew Mary C.,Maine Republican Party,Personal,10/27/04,,Lobbyist,,National Institute on Money in State Politics
"$1,000 ",Mayhew,Mayhew Mary C.,Friends Of Maine Hospitals,Personal,9/3/08,Maine Hospital Association,"Vp, Government Affairs",Monetary (Itemized),Maine Ethics Commission
$200 ,Mayhew,Mayhew Mary C.,Pingree Leadership Fund,Personal,10/17/08,Maine Hospital Association,Govt Relations,Monetary (Itemized),Maine Ethics Commission
$250 ,Mayhew,Mayhew Mary C.,"Brannigan, Joseph C",Personal,10/21/08,Me Hospital Association,Government Relations,,National Institute on Money in State Politics
$250 ,Mayhew,Mayhew Mary C.,Michael H Michaud,Personal,4/7/09,Maine Hospital Association,Lobbyist,,National Institute on Money in State Politics
$500 ,Mayhew,Mayhew Mary C.,Friends Of Maine Hospitals,Personal,10/14/09,Maine Hospital Association,Vice President,Monetary (Itemized),Maine Ethics Commission
$200 ,Mayhew,Mayhew Mary C.,Michael H Michaud,Personal,12/7/09,Maine Hospital Association,Lobbyist,,National Institute on Money in State Politics
$140 ,Mayhew,Mayhew Mary C.,Maine Senate Republican Majority,Personal,12/8/09,Maine Hospital Association,Lobbyist,,National Institute on Money in State Politics
$100 ,Mayhew,Mayhew Mary C.,"Mcgowan, Patrick K",Personal,3/24/10,Maine Hospital Association,Vice President,,National Institute on Money in State Politics
$200 ,Mayhew,Mayhew Mary C.,"Abbott, Steven W",Personal,4/12/10,Maine Hospital Association,Government Affairs,,National Institute on Money in State Politics
"$1,000 ",Mayhew,Mayhew Mary C.,Paul R Lepage,Personal,5/4/14,State Of Maine,Government/civil,Individual; Monetary (Itemized),National Institute on Money in State Politics
$500 ,Mayhew,Mayhew Mary C.,Paul R Lepage,Personal,9/9/14,State Of Maine,Government/civil,Individual,National Institute on Money in State Politics
$250 ,Mayhew,Mayhew Mary C.,Poliquin For Congress,Personal,10/22/14,State Of Maine,Commissioner,,National Institute on Money in State Politics
$100 ,Mayhew,Mayhew Mary C.,Eric L Brakey,Personal,10/15/15,State Of Maine,Government/civil,,National Institute on Money in State Politics
$100 ,Mayhew,Mayhew Mary C.,"Mayhew, Mary C",Self-financing,6/6/17,None,Government/civil Consultant,,National Institute on Money in State Politics
($100),Mayhew,Mayhew Mary C.,"Mayhew, Mary C",Self-financing,6/6/17,Self-employed,Government/civil Consultant,Offset due to update of filed item,National Institute on Money in State Politics
$100 ,Mayhew,Mayhew Mary C.,"Mayhew, Mary C",Self-financing,6/6/17,Self-employed,Government/civil Consultant,,National Institute on Money in State Politics
$250 ,Mayhew,Mayhew Mary C.,American Hospital Assn,Personal,12/19/01,,Maine Hospital Association/vice Pre,,Opensecrets.org
$250 ,Mayhew,Mayhew Mary C.,American Hospital Assn,Personal,10/22/02,,Maine Hospital Association/vice Pre,,Opensecrets.org
$250 ,Mayhew,Mayhew Mary C.,American Hospital Assn,Personal,12/31/02,,Maine Hospital Association/vice Pre,,Opensecrets.org
$250 ,Mayhew,Mayhew Mary C.,American Hospital Assn,Personal,11/10/03,,Maine Hospital Association,,Opensecrets.org
$500 ,Mayhew,Mayhew Mary C.,American Hospital Assn,Personal,10/25/04,,Maine Hospital Association,,Opensecrets.org
$500 ,Mayhew,Mayhew Mary C.,American Hospital Assn,Personal,9/14/05,,Maine Hospital Association,,Opensecrets.org
$500 ,Mayhew,Mayhew Mary C.,American Hospital Assn,Personal,8/31/06,,Maine Hospital Association,,Opensecrets.org
$500 ,Mayhew,Mayhew Mary C.,American Hospital Assn,Personal,9/21/07,,Maine Hospital Association,,Opensecrets.org
$500 ,Mayhew,Mayhew Mary C.,American Hospital Assn,Personal,9/4/08,,Maine Hospital Association,,Opensecrets.org
$250 ,Mayhew,Mayhew Mary C.,American Hospital Assn,Personal,10/19/09,,Maine Hospital Association,,Opensecrets.org
$100 ,Mayhew,Mayhew Mary C.,Maine Republican Party,Personal,11/8/17,,Consultant,,Opensecrets.org
$100 ,Mayhew,Mayhew Mary C.,Maine Republican Party,Personal,12/8/17,,Consultant,,Opensecrets.org
$250 ,Mayhew,Mayhew Mary C.,"Knight, L Gary",Personal,11/3/04,,,,National Institute on Money in State Politics
$100 ,Moody,Moody Shawn,"Maietta Jr, Louis B",Business,9/16/02,,,,National Institute on Money in State Politics
$750 ,Moody,Moody Shawn,"Moody, Shawn H",Business,7/28/10,,,,National Institute on Money in State Politics
"$500,000 ",Moody,Moody Shawn,"Moody, Shawn H",Self-financing,4/21/10,,,,National Institute on Money in State Politics
$43 ,Moody,Moody Shawn,"Moody, Shawn H",Self-financing,8/5/10,,,,National Institute on Money in State Politics
$25 ,Moody,Moody Shawn,"Moody, Shawn H",Self-financing,8/5/10,,,,National Institute on Money in State Politics
$190 ,Moody,Moody Shawn,"Moody, Shawn H",Self-financing,8/5/10,,,,National Institute on Money in State Politics
$23 ,Moody,Moody Shawn,"Moody, Shawn H",Self-financing,8/6/10,,,,National Institute on Money in State Politics
$98 ,Moody,Moody Shawn,"Moody, Shawn H",Self-financing,8/6/10,,,,National Institute on Money in State Politics
$98 ,Moody,Moody Shawn,"Moody, Shawn H",Self-financing,8/6/10,,,,National Institute on Money in State Politics
$48 ,Moody,Moody Shawn,"Moody, Shawn H",Self-financing,8/7/10,,,,National Institute on Money in State Politics
$3 ,Moody,Moody Shawn,"Moody, Shawn H",Self-financing,8/7/10,,,,National Institute on Money in State Politics
$138 ,Moody,Moody Shawn,"Moody, Shawn H",Self-financing,8/7/10,,,,National Institute on Money in State Politics
"$6,325 ",Moody,Moody Shawn,"Moody, Shawn H",Self-financing,11/16/10,,,,National Institute on Money in State Politics
$350 ,Moody,Moody Shawn,"Mattingly, Matt",Personal,10/17/12,Moody Collision,Self,,National Institute on Money in State Politics
"$1,000 ",Moody,Moody Shawn,Collins For Senator,Personal,6/27/13,Moodys Collision,Owner,RECEIPT,National Institute on Money in State Politics
$500 ,Moody,Moody Shawn,Collins For Senator,Personal,9/20/13,Moodys Collision,Owner,,National Institute on Money in State Politics
$750 ,Moody,Moody Shawn,Collins For Senator,Personal,12/16/13,Moodys Collision,Owner,,National Institute on Money in State Politics
$189 ,Moody,Moody Shawn,Patricia J Gagne,Personal,6/4/14,Moody's Collision,Automotive Industry,Monetary (Itemized); Individual,National Institute on Money in State Politics
($189),Moody,Moody Shawn,Patricia J Gagne,Personal,6/4/14,Moody's Collision,Automotive Industry,Monetary (Itemized); Offset due to update of filed item,National Institute on Money in State Politics
$200 ,Moody,Moody Shawn,Patricia J Gagne,Personal,6/4/14,Moody's Collision,Automotive Industry,Monetary (Itemized),National Institute on Money in State Politics
$250 ,Moody,Moody Shawn,Poliquin For Congress,Personal,7/11/14,Real Estate Holdings Llc,Business Owner,,National Institute on Money in State Politics
$250 ,Moody,Moody Shawn,"Davis, Debi A",Personal,8/25/14,Moody's Collision Center,Automotive Industry,Monetary (Itemized); CONTRIBUTION,National Institute on Money in State Politics
$250 ,Moody,Moody Shawn,Michael J Willette,Personal,9/8/14,Self,Automotive Industry,Monetary (Itemized),National Institute on Money in State Politics
$250 ,Moody,Moody Shawn,"Snow, Richard Vinton",Personal,10/6/14,"Moody's Collision Centers, Inc",Automotive Industry,Monetary (Itemized),National Institute on Money in State Politics
$100 ,Moody,Moody Shawn,"Titcomb, Lewis Bonnie",Personal,10/7/14,Moody Collision,Automotive Industry,Monetary (Itemized); CONTRIBUTION,National Institute on Money in State Politics
$500 ,Moody,Moody Shawn,Ande For Maine,Personal,3/24/16,Moodys Collision,Owner,,National Institute on Money in State Politics
$500 ,Moody,Moody Shawn,Poliquin For Congress,Personal,3/29/16,Moody's,Self-employed,,National Institute on Money in State Politics
$250 ,Moody,Moody Shawn,Amy F Volk,Personal,7/26/16,Moody's Collision,Automotive Industry,,National Institute on Money in State Politics
"$1,000 ",Moody,Moody Shawn,Poliquin For Congress,Personal,8/4/16,Moody's,Self-employed,,National Institute on Money in State Politics
$530 ,Moody,Moody Shawn,Esop Assn,Personal,7/16/12,,Moody's Collision Centers,,Opensecrets.org
$530 ,Moody,Moody Shawn,Esop Assn,Personal,9/6/17,,Moody's Collision Centers,,Opensecrets.org
$250 ,Moody,Moody Shawn,Associated Builders And Contractors Of Maine Pac,Personal,7/15/10,Moody's Collision,Owner,Monetary (Itemized),Maine Ethics Commission
$500 ,Moody,Moody Shawn,Momentum Maine,Personal,12/11/17,Moody's Collision Centers,Automotive Industry,Monetary (Itemized),Maine Ethics Commission
