Amount,Candidate or committee,Candidate,Recipient,Type of contribution,Date,Employer,Occupation,Purpose,Source
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Stephanie Hawke,PAC,9/18/14,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Michael D Mcclellan,PAC,9/21/14,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Maryanne Kinney,PAC,9/24/14,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Ms. Karen A Gerrish,PAC,9/25/14,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Tom J Winsor,PAC,9/25/14,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Oxford County Republican Committee,PAC,10/8/14,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Dale J Crafts,PAC,10/27/14,,,,Maine Ethics Commission
"$1,250 ",Leadership For Maine's Future,Fredette Kenneth W,House Republican Majority Fund,PAC,10/28/14,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Karleton S Ward,PAC,10/30/14,,,,Maine Ethics Commission
"$1,000 ",Leadership For Maine's Future Pac,Fredette Kenneth W,Maine Republican Party,PAC,10/30/14,,,,Maine Ethics Commission
"$12,000 ",Leadership For Maine's Future,Fredette Kenneth W,House Republican Majority Fund,PAC,11/5/14,,,,Maine Ethics Commission
"$1,426 ",Leadership For Maine's Future,Fredette Kenneth W,House Republican Majority Fund,PAC,1/9/15,,,,Maine Ethics Commission
$500 ,Leadership For Maine's Future,Fredette Kenneth W,House Republican District 93,PAC,2/3/15,,,,Maine Ethics Commission
$482 ,Leadership For Maine's Future,Fredette Kenneth W,House Republican Majority Fund,PAC,7/9/15,,,,Maine Ethics Commission
$175 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Maine Republican Party,PAC,9/11/15,,,,Maine Ethics Commission
$185 ,Leadership For Maine's Future,Fredette Kenneth W,House Republican Majority Fund,PAC,9/15/15,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Jeffrey Lloyd Timberlake,PAC,12/18/15,,,,Maine Ethics Commission
"$3,000 ",Leadership For Maine's Future,Fredette Kenneth W,House Republican Majority Fund,PAC,4/1/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Lance E Harvell,PAC,5/13/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Andre E Cushing,PAC,5/25/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Matthew Pouliot,PAC,5/25/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Pac,Fredette Kenneth W,Nathan J Wadsworth,PAC,6/6/16,,,,Maine Ethics Commission
"$1,000 ",Leadership For Maine's Future Pac,Fredette Kenneth W,Maine Republican Party,PAC,6/15/16,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Dustin Michael White,PAC,7/20/16,,,,Maine Ethics Commission
