School dimensions,,,,,,,,,,,,,,,School-level measures,,,,,,,,,,,,,,,,,College-going measures,,,,,,,,
School year,School name,Merged school name,School Type,District,County,Location,Latitude,Longitude,Mailing Address,Open or closed,Year opened,Year closed,Low grade,High grade,Enrollment,Classroom teachers,Average classroom teacher salary,Average classroom teacher age,Teachers with master's degrees or higher,Teachers with doctorates,Share with Master's or greater,Average years of classroom teacher experience,Students eligible for free or reduced-price lunch,Share of students eligible for free or reduced-price lunch,Share special ed enrollment,Special ed enrollment,Grade 9-12 enrollment,Dropouts,Annual dropout rate,Graduation rate,Graduates (MDOE figures),College enrollees,"Graduates (National Clearinghouse, for college-going rate)",College-going rate,College enrollees in 2-year program,College enrollees in 4-year program,College enrolleees at in-state schools,College enrollees at out-of-state schools,College enrollees at private schools,College enrollees at public schools
2006-07,A D Gray Middle School,A D Gray Middle School,Public,RSU 40/MSAD 40,Lincoln County,Waldoboro,44.0978001,-69.3752091,"56 School Street Waldoboro, ME 04572",Closed,1935,2009,,,140,13,"$41,572 ",44,2,,15.40%,15,79,56.40%,,,,,,,,,,,,,,,,
2006-07,Abraham Lincoln School,Abraham Lincoln School,Public,Bangor Public Schools,Penobscot County,Bangor,44.8063888,-68.7625385,"45 Forest Avenue Bangor, ME 04401",Open,,,Pre-K,3,216,16,"$48,827 ",46,9,,56.30%,17.6,95,44.00%,,,,,,,,,,,,,,,,
2006-07,Academy Hill School,Academy Hill School,Public,RSU 09,Franklin County,Wilton,44.5931645,-70.2257962,"585 Depot St Wilton, ME 04294",Open,,,2,5,211,18,"$43,623 ",49,5,,27.80%,19.5,90,42.70%,,,,,,,,,,,,,,,,
2006-07,Acton Elementary School,Acton Elementary School,Public,Acton Public Schools,York County,Acton,43.5080094,-70.8979098,"700 Milton Mills Road na Acton, ME 04001",Open,,,Pre-K,8,280,24,"$44,502 ",44,8,,33.30%,13.8,90,32.10%,,,,,,,,,,,,,,,,
2006-07,Adams School,Adams School,Public,Castine Public Schools,Hancock County,Castine,44.4072694,-68.8190001,"PO Box 29 Castine, ME 04421",Open,,,Pre-K,8,53,11,"$51,820 ",52,7,,63.60%,17.5,3,5.70%,,,,,,,,,,,,,,,,
2006-07,Agnes Gray School,Agnes Gray School,Public,RSU 17/MSAD 17,Oxford County,West Paris,44.3268072,-70.5684302,"170 Main Street West Paris, ME 04289",Open,,,Pre-K,5,88,8,"$38,545 ",48,4,,50.00%,14.8,58,65.90%,,,,,,,,,,,,,,,,
2006-07,Airline Community School,Airline Community School,Public,Airline CSD,Hancock County,Aurora,44.8644727,-68.3079024,"26 Great Pond Road Aurora, ME 04408",Open,,,Pre-K,8,43,4,"$32,950 ",39,1,,25.00%,13.2,21,48.80%,,,,,,,,,,,,,,,,
2006-07,Albert S Hall School,Albert S Hall School,Public,Waterville Public Schools,Kennebec County,Waterville,44.549872,-69.6359518,"27 Pleasant Street Waterville, ME 04901",Open,,,4,5,269,19,"$37,557 ",44,5,,26.30%,17.2,142,52.80%,,,,,,,,,,,,,,,,
2006-07,Albion Elementary School,Albion Elementary School,Public,RSU 49/MSAD 49,Kennebec County,Albion,44.5317264,-69.4399824,"20 School Street Albion, ME 04910",Open,,,KG,6,162,12,"$39,555 ",45,3,,25.00%,15.8,75,46.30%,,,,,,,,,,,,,,,,
2006-07,Alexander Elementary,Alexander Elementary,Public,Alexander Public Schools,Washington County,Alexander,45.0876523,-67.4983212,"1430 Airline Road Alexander, ME 04694",Open,,,Pre-K,8,65,6,"$40,990 ",57,3,,50.00%,17.3,32,49.20%,,,,,,,,,,,,,,,,
2006-07,Alfred Elementary School,Alfred Elementary School,Public,RSU 57/MSAD 57,York County,Alfred,43.4709784,-70.7222578,"21 Sanford Road Alfred, ME 04002",Open,,,KG,5,227,19,"$44,378 ",43,4,,21.10%,16.1,48,21.10%,,,,,,,,,,,,,,,,
2006-07,Alton Elementary School,Alton Elementary School,Public,RSU 34,Penobscot County,Alton,45.0450243,-68.7356859,"22 Argyle Rd Alton, ME 04468",Open,,,Pre-K,3,49,6,"$26,922 ",38,2,,33.30%,10.3,25,51.00%,,,,,,,,,,,,,,,,
2006-07,Ames Elementary School,Ames Elementary School,Public,RSU 71,Waldo County,Searsmont,44.3714327,-69.2047821,"165 New England Road Searsmont, ME 04973",Open,,,2,5,121,10,"$40,836 ",46,3,,30.00%,14,58,47.90%,,,,,,,,,,,,,,,,
2006-07,Andover Elementary School,Andover Elementary School,Public,Andover Public Schools,Oxford County,Andover,44.6356166,-70.7511813,"PO Box 70 Andover, ME 04216",Open,,,KG,5,54,9,"$43,054 ",47,4,,44.40%,17.4,33,61.10%,,,,,,,,,,,,,,,,
2006-07,Appleton Village School,Appleton Village School,Public,Appleton Public Schools,Knox County,Appleton,44.27395,-69.2687487,"737 Union Street N/A Appleton, ME 04862",Open,,,KG,8,139,14,"$36,617 ",48,3,,21.40%,12.6,40,28.80%,,,,,
2006-07,Arthur R. Gould Sch--LCYDC,Arthur R. Gould Sch--LCYDC,State Operated,Arthur R. Gould Sch--LCYDC,Cumberland County,South Portland,43.6389161,-70.3091098,"675 Westbrook Street South Portland, ME 04106",Open,,,7,12,50,14,"$47,600 ",52,4,,28.60%,17.8,50,100.00%,,,50,21,42.0%
2006-07,Asa C Adams School,Asa C Adams School,Public,RSU 26,Penobscot County,Orono,44.8820637,-68.6734897,"6 Goodridge Drive Orono, ME 04473",Open,,,Pre-K,5,274,25,"$38,955 ",45,6,,24.00%,13.8,67,24.50%,,,,,
2006-07,Ashland Central School,Ashland District School,Public,RSU 32/MSAD 30,Aroostook County,Ashland,,,"Oak St PO Box 449 Ashland, ME 04732",Closed,1950,2011,,12,150,11,"$37,893 ",44,1,,9.10%,14.2,82,54.70%,,,,,
2006-07,Ashland Community High School,Ashland District School,Public,RSU 32/MSAD 31,Aroostook County,Ashland,,,"46 Hayward St PO Box 369 Ashland, ME 04732",Closed,1950,2011,,12,178,14,"$36,014 ",46,0,,0.00%,13.8,86,48.30%,,,104,,
2006-07,Ashley Bryan School,Ashley Bryan School,Public,Cranberry Isles Public Schools,Hancock County,Islesford,44.2524761,-68.2274105,"P.O. Box 8 Islesford, ME 04646",Closed,1907,2017,,,16,3,"$34,925 ",46,1,,33.30%,6.3,2,12.50%,,,,,
2006-07,Athens Elementary School,Athens Elementary School,Public,Athens Public Schools,Somerset County,Athens,44.9233261,-69.6703961,"8 Fox Hill Road Athens, ME 04912",Open,,,Pre-K,8,158,13,"$45,963 ",44,3,,23.10%,17.4,99,62.70%,,,,,
2006-07,Auburn Middle School,Auburn Middle School,Public,Auburn Public Schools,Androscoggin County,Auburn,44.0919523,-70.2505503,"38 Falcon Drive Auburn, ME 04210",Open,,,7,8,526,41,"$41,155 ",45,18,,43.90%,15.9,224,42.60%,,,,,
2006-07,Baldwin Consolidated School,Baldwin Consolidated School,Public,RSU 55/MSAD 55,Cumberland County,Baldwin,43.7621597,-70.6289465,"536 Pequawket Trail Baldwin, ME 04091",Closed,1952,2016,,,130,11,"$40,775 ",40,1,,9.10%,12.3,39,30.00%,,,,,
2006-07,Bangor High School,Bangor High School,Public,Bangor Public Schools,Penobscot County,Bangor,44.8312897,-68.7816397,"885 Broadway Bangor, ME 04401",Open,,,9,12,1473,96,"$51,130 ",48,55,2,57.30%,17.3,304,20.60%,,,1473,95,6.4%
2006-07,Bath Middle School,Bath Middle School,Public,RSU 01,Sagadahoc County,Bath,43.9194689,-69.8297117,"6 Old Brunswick Road Bath, ME 04530",Open,,,6,8,415,32,"$45,842 ",43,12,,37.50%,14.6,177,42.70%,,,,,
2006-07,Bay Ridge Elementary,Bay Ridge Elementary,Public,Cutler Public Schools,Washington County,Cutler,44.6816093,-67.2513457,"PO Box 240 Cutler, ME 04626",Open,,,Pre-K,8,50,7,"$37,223 ",50,3,,42.90%,13.6,22,44.00%,,,,,
2006-07,Beals Elementary School,Beals Elementary School,Public,Beals Public Schools,Washington County,Beals,44.4751765,-67.6134439,"PO Box 220 Beals, ME 04611",Open,,,Pre-K,8,49,7,"$36,192 ",46,1,,14.30%,18,32,65.30%,,,,,
2006-07,Beatrice Rafferty School,Beatrice Rafferty School,Indian Education,Pleasant Point,Washington County,Pleasant Point,44.957031,-67.0406312,"22 Bayview Drive Pleasant Point, ME 04667",Open,,,KG,8,106,16,"$44,723 ",50,2,,12.50%,16.9,95,89.60%,,,,,
2006-07,Beech Hill School,Beech Hill School,Public,Otis Public Schools,Hancock County,Otis,44.7115976,-68.4504975,"105 Otis Road Otis, ME 04605",Open,,,Pre-K,8,113,13,"$28,300 ",41,1,,7.70%,10.6,47,41.60%,,,,,
2006-07,Belfast Area High School,Belfast Area High School,Public,RSU 71,Waldo County,Belfast,44.4286939,-69.0181621,"98 Waldo Avenue Belfast, ME 04915",Open,,,9,12,626,43,"$47,599 ",49,13,,30.20%,17.7,219,35.00%,,,626,14,2.2%
2006-07,Belgrade Central School,Belgrade Central School,Public,RSU 18,Kennebec County,Belgrade,44.4538025,-69.8335086,"158 Depot Road Belgrade, ME 04917",Open,,,Pre-K,5,290,23,"$39,754 ",39,9,,39.10%,12.5,90,31.00%,,,,,
