School year,District,Regular instruction (per student),Regular Instruction,Other instruction (per student),Other Instruction,Transp & Buses (per student),Transp & Buses,Debt Service (per student),Debt Service,Facilities Maintenance (per student),Facilities Maintenance,School Admin (per student),School Admin,Special Ed Instruction (per student),Special Ed Instruction,Student & Staff support (per student),Student & Staff support,System Admin (per student),System Admin,Vocational Ed Instruction (per student),Vocational Ed Instruction,All Other (per student),All Other,Total expenses per pupil
2007-08,Alexander Public Schools,"$6,508","$488,067",,,"$1,199","$89,887",,,"$1,896","$142,228",$426,"$31,927",$901,"$67,587",$4,$277,$507,"$38,033",,,$173,"$13,000","$11,614"
2008-09,Alexander Public Schools,"$6,065","$406,355",,,"$1,236","$82,812",,,"$1,552","$103,996",$477,"$31,945",$794,"$53,183",$1,$86,$615,"$41,197",,,$223,"$14,941","$10,963"
2009-10,Alexander Public Schools,"$6,648","$382,254",,,"$1,437","$82,614",,,"$1,569","$90,189",$558,"$32,065",$555,"$31,911",$5,$271,$684,"$39,336",,,$54,"$3,093","$11,510"
2010-11,Alexander Public Schools,"$5,737","$301,203",,,"$1,630","$85,575",,,"$1,750","$91,859",$551,"$28,911",$274,"$14,391",$14,$740,$614,"$32,236",,,$343,"$17,980","$10,913"
2011-12,Alexander Public Schools,"$6,009","$342,508",,,"$1,567","$89,304",,,"$1,260","$71,846",$531,"$30,257",$388,"$22,106",$25,"$1,410",$600,"$34,201",,,$698,"$39,812","$11,078"
2012-13,Alexander Public Schools,"$5,109","$329,507",,,"$1,406","$90,662",,,"$1,054","$67,977",$523,"$33,755",$541,"$34,906",$5,$331,$514,"$33,126",,,$9,$554,"$9,161"
2013-14,Alexander Public Schools,"$6,525","$466,504",,,"$1,376","$98,394",,,"$1,016","$72,647",$523,"$37,400",$631,"$45,115",$38,"$2,693",$468,"$33,482",,,$5,$386,"$10,582"
2014-15,Alexander Public Schools,"$7,015","$431,416",,,"$1,365","$83,921",,,"$1,541","$94,750",$584,"$35,938",$861,"$52,932",$43,"$2,661",$409,"$25,123",,,,,"$11,818"
2003-04,Alna School Department,"$6,583","$733,945",,,$409,"$45,649",,,,,,,"$1,373","$153,111",,,$200,"$22,327",,,,,"$8,565"
2004-05,Alna School Department,"$6,225","$669,189",,,$477,"$51,222",,,,,,,$730,"$78,428",,,$263,"$28,283",,,,,"$7,695"
2005-06,Alna School Department,"$7,430","$691,018",,,$567,"$52,718",,,,,,,$945,"$87,867",,,$278,"$25,847",,,,,"$9,220"
2006-07,Alna School Department,"$7,721","$694,876",,,"$1,163","$104,695",,,,,,,"$1,223","$110,039",,,$291,"$26,229",,,,,"$10,398"
2007-08,Alna School Department,"$7,663","$758,614",,,$588,"$58,231",,,,,,,"$1,358","$134,436",,,$282,"$27,875",,,,,"$9,891"
2008-09,Alna School Department,"$8,498","$798,812",,,$671,"$63,079",,,,,,,"$1,550","$145,693",,,$299,"$28,102",,,,,"$11,018"
2003-04,Alton School Department,"$4,360","$568,942",,,$692,"$90,236",$921,"$120,151",$434,"$56,627",$317,"$41,336",$715,"$93,323",$4,$579,$229,"$29,920",$191,"$24,948",$188,"$24,551","$8,051"
2004-05,Alton School Department,"$4,655","$647,074",,,$723,"$100,487",$958,"$133,206",$569,"$79,153",$245,"$34,041",$661,"$91,820",$1,$155,$291,"$40,473",$216,"$29,998",$118,"$16,374","$8,437"
2005-06,Alton School Department,"$4,576","$626,889",$9,"$1,205",$779,"$106,725",$908,"$124,365",$454,"$62,220",$292,"$40,038",$600,"$82,246",,,$303,"$41,572",$238,"$32,568",-$12,,"$8,147"
2006-07,Alton School Department,"$3,494","$431,481",$14,"$1,773","$1,050","$129,643",$88,"$10,837","$1,922","$237,423",$295,"$36,485",$929,"$114,743",$61,"$7,486",$349,"$43,132",$233,"$28,727",-$31,,"$8,404"
2007-08,Alton School Department,"$5,159","$598,419",,,"$1,077","$124,881",$93,"$10,837","$1,011","$117,318",$295,"$34,235","$1,130","$131,061",$110,"$12,768",$333,"$38,659",$256,"$29,671",$8,$946,"$9,472"
2008-09,Alton School Department,"$5,697","$657,946",,,"$1,328","$153,428",,,$758,"$87,551",$370,"$42,698","$1,260","$145,581",$161,"$18,581",$319,"$36,788",$249,"$28,755",$136,"$15,683","$10,278"
2003-04,Appleton Public Schools,"$4,576","$610,950",$100,"$13,385",$792,"$105,719",,,$744,"$99,357",$648,"$86,450","$1,483","$198,035",$445,"$59,445",$435,"$58,078",,,$36,"$4,843","$9,259"
2004-05,Appleton Public Schools,"$4,322","$598,560",$99,"$13,729",$554,"$76,665",$144,"$20,000",$961,"$133,151",$763,"$105,738","$1,705","$236,089",$499,"$69,083",$413,"$57,200",,,,,"$9,460"
2005-06,Appleton Public Schools,"$4,046","$578,631",$126,"$18,027",$533,"$76,167",,,$867,"$123,976",$736,"$105,313","$1,567","$224,082",$467,"$66,753",$423,"$60,550",,,$4,$500,"$8,769"
2006-07,Appleton Public Schools,"$4,349","$597,934",$192,"$26,386",$625,"$85,887",,,"$1,104","$151,841",$807,"$110,892","$1,746","$240,132",$661,"$90,871",$475,"$65,345",,,$112,"$15,416","$10,071"
2007-08,Appleton Public Schools,"$4,653","$646,753",$207,"$28,719",$616,"$85,575",,,"$1,089","$151,374",$830,"$115,344","$1,527","$212,312",$798,"$110,885",$472,"$65,593",,,$200,"$27,835","$10,392"
2008-09,Appleton Public Schools,"$5,118","$657,719",$207,"$26,616",$566,"$72,671",$476,"$61,097","$1,498","$192,545",$827,"$106,309","$1,762","$226,397",$956,"$122,827",$532,"$68,378",,,$125,"$16,010","$12,067"
2009-10,Appleton Public Schools,"$5,237","$680,844",$219,"$28,494",$592,"$76,984",$460,"$59,748","$1,261","$163,986",$847,"$110,079","$1,891","$245,859",$908,"$118,093",$454,"$58,968",,,$102,"$13,255","$11,971"
2010-11,Appleton Public Schools,"$4,806","$692,102",$93,"$13,315",$575,"$82,853",$408,"$58,732","$1,000","$143,984",$794,"$114,356","$1,364","$196,380",$820,"$118,089",$442,"$63,619",,,$81,"$11,630","$10,383"
2011-12,Appleton Public Schools,"$5,298","$731,170",$76,"$10,502",$652,"$90,029",$227,"$31,373",$986,"$136,121",$879,"$121,261","$1,499","$206,834",$941,"$129,822",$412,"$56,801",,,$94,"$12,974","$11,064"
2012-13,Appleton Public Schools,"$5,179","$737,968",$103,"$14,725",$700,"$99,715",$211,"$30,058","$1,919","$273,421",$881,"$125,482","$1,925","$274,358","$1,049","$149,444",$475,"$67,721",,,$109,"$15,572","$12,551"
2013-14,Appleton Public Schools,"$5,983","$846,542",$122,"$17,313",$623,"$88,167",$207,"$29,342","$1,578","$223,330",$941,"$133,108","$1,861","$263,306","$1,112","$157,299",$576,"$81,497",,,$50,"$7,056","$13,053"
2014-15,Appleton Public Schools,"$5,564","$767,856",$118,"$16,299",$716,"$98,803",$204,"$28,203","$1,249","$172,411",$990,"$136,646","$2,177","$300,424","$1,218","$168,010",$431,"$59,414",,,$115,"$15,919","$12,782"
2003-04,Arrowsic School Department,"$6,883","$454,262",,,$238,"$15,679",,,,,,,$140,"$9,240",,,$197,"$12,982",,,,,"$7,458"
2004-05,Arrowsic School Department,"$6,574","$499,609",,,$296,"$22,479",,,,,,,$558,"$42,371",,,$174,"$13,233",,,,,"$7,602"
2005-06,Arrowsic School Department,"$6,794","$478,993",,,$319,"$22,479",,,,,,,$315,"$22,193",,,$208,"$14,681",,,,,"$7,636"
2006-07,Arrowsic School Department,"$7,452","$409,846",,,$414,"$22,794",,,,,,,$342,"$18,832",,,$276,"$15,204",,,,,"$8,484"
2007-08,Arrowsic School Department,"$9,016","$432,763",,,$500,"$24,021",,,,,,,$452,"$21,689",,,$370,"$17,742",,,,,"$10,338"
2003-04,Arundel School Department,"$4,413","$2,789,294",$22,"$13,747",$376,"$237,363",,,$406,"$256,733",$242,"$152,958","$1,362","$860,934",$128,"$80,812",$202,"$127,809",,,,,"$7,151"
2004-05,Arundel School Department,"$4,616","$3,011,779",$24,"$15,851",$379,"$246,963",,,$497,"$323,957",$243,"$158,697","$1,581","$1,031,564",,,$193,"$126,140",,,$61,"$40,001","$7,594"
2005-06,Arundel School Department,"$4,713","$3,051,489",$28,"$18,331",$379,"$245,469",,,$485,"$314,031",$240,"$155,082","$1,547","$1,001,625",$136,"$87,752",$232,"$150,348",,,,,"$7,760"
2006-07,Arundel School Department,"$5,845","$3,582,861",,,$357,"$218,998",,,$486,"$297,761",$212,"$129,629","$1,957","$1,199,368",$191,"$117,017",$258,"$157,868",,,,,"$9,306"
2007-08,Arundel School Department,"$5,913","$3,698,826",$6,"$3,488",$467,"$292,094",,,$499,"$311,999",$226,"$141,035","$1,625","$1,016,318",$314,"$196,271",$373,"$233,253",,,,,"$9,423"
2008-09,Arundel School Department,"$6,295","$3,994,418",$17,"$10,548",$540,"$342,376",,,$552,"$350,264",$211,"$134,143","$1,612","$1,022,647",$313,"$198,637",$401,"$254,237",,,,,"$9,941"
2013-14,Athens Public Schools,"$6,141","$1,065,457",$87,"$15,154",$706,"$122,533",$588,"$102,012",$747,"$129,513",$305,"$52,963","$1,232","$213,713",$476,"$82,529",$305,"$52,828",,,$50,"$8,684","$10,637"
2014-15,Athens Public Schools,"$7,508","$1,291,306",$100,"$17,181",$689,"$118,433",$544,"$93,624",$745,"$128,071",$400,"$68,849","$1,259","$216,494",$419,"$72,137",$419,"$72,053",,,$101,"$17,430","$12,184"
2003-04,Auburn Public Schools,"$3,461","$12,447,186",$89,"$320,485",$287,"$1,030,662",$507,"$1,821,435",$892,"$3,206,452",$240,"$861,433","$1,581","$5,686,188",$806,"$2,899,603",$322,"$1,159,208",,,,"$1,000","$8,185"
2004-05,Auburn Public Schools,"$3,549","$12,420,058",$106,"$371,918",$287,"$1,005,886",$522,"$1,828,104",$803,"$2,809,747",$291,"$1,019,033","$1,651","$5,776,745",$759,"$2,658,012",$384,"$1,344,136",,,$1,"$2,000","$8,353"
