School year,District,Regular instruction (per student),Regular Instruction,Other instruction (per student),Other Instruction,Transp & Buses (per student),Transp & Buses,Debt Service (per student),Debt Service,Facilities Maintenance (per student),Facilities Maintenance,School Admin (per student),School Admin,Special Ed Instruction (per student),Special Ed Instruction,Student & Staff support (per student),Student & Staff support,System Admin (per student),System Admin,Vocational Ed Instruction (per student),Vocational Ed Instruction,All Other (per student),All Other,Total expenses per pupil
2013-14,Hermon Public Schools,"$3,782","$3,477,246",$365,"$335,539",$535,"$491,747",$979,"$899,948","$1,385","$1,273,374",$672,"$617,834","$1,126","$1,035,238","$1,168","$1,073,804",$339,"$311,378",$168,"$154,720",$29,"$27,000","$10,548"
2014-15,Hermon Public Schools,"$3,603","$3,395,454",$336,"$316,843",$406,"$382,224",$550,"$518,115","$1,451","$1,367,361",$706,"$665,542","$1,056","$995,515","$1,196","$1,126,953",$345,"$324,706",$177,"$166,346",$27,"$25,000","$9,853"
2003-04,Hersey School Department,"$5,167","$36,166",,,$800,"$5,600",,,,,,,,,,,$527,"$3,689",$236,"$1,648",,,"$6,730"
2004-05,Hersey School Department,"$5,215","$36,503",,,$800,"$5,600",,,,,,,,,,,$817,"$5,718",$389,"$2,726",,,"$7,221"
2005-06,Hersey School Department,"$4,798","$33,587",,,$800,"$5,600",,,,,,,,,,,$836,"$5,851",$397,"$2,776",,,"$6,831"
2006-07,Hersey School Department,"$18,855","$37,710",,,"$3,000","$6,000",,,,,,,,,,,"$2,989","$5,977","$1,660","$3,320",,,"$26,504"
2007-08,Hersey School Department,"$6,451","$58,058",,,$667,"$6,000",,,,,,,,,,,$557,"$5,017",,,,,"$7,675"
2003-04,Highland Plt Public Schools,"$4,763","$40,483",,,$601,"$5,110",,,,,,,$384,"$3,266",,,$352,"$2,990",,,,,"$6,100"
2004-05,Highland Plt Public Schools,"$4,151","$29,058",,,$752,"$5,263",,,,,,,,,,,$484,"$3,390",,,,,"$5,387"
2005-06,Highland Plt Public Schools,"$6,498","$25,992",,,"$1,355","$5,421",,,,,,,,,,,$823,"$3,290",,,,,"$8,676"
2006-07,Highland Plt Public Schools,"$6,663","$59,970",,,$620,"$5,584",,,,,,,,,,,$381,"$3,430",,,,,"$7,664"
2007-08,Highland Plt Public Schools,"$6,234","$65,460",,,$548,"$5,752",,,,,,,,,,,$275,"$2,885",,,,,"$7,057"
2008-09,Highland Plt Public Schools,"$8,507","$97,829",,,$515,"$5,925",,,,,,,$54,$625,,,$331,"$3,805",,,,,"$9,407"
2009-10,Highland Plt Public Schools,"$8,744","$78,699",,,$678,"$6,103",,,,,,,,,,,$429,"$3,860",,,,,"$9,851"
2010-11,Highland Plt Public Schools,"$8,845","$88,449",,,$629,"$6,286",,,,,,,,,,,$412,"$4,115",,,,,"$9,886"
2011-12,Highland Plt Public Schools,"$8,240","$74,158",,,$719,"$6,469",,,,,,,$528,"$4,755",,,$450,"$4,050",,,,,"$9,937"
2012-13,Highland Plt Public Schools,"$8,609","$77,484",,,$741,"$6,669",,,,,,,$951,"$8,558",,,$446,"$4,010",,,,,"$10,747"
2013-14,Highland Plt Public Schools,"$8,324","$66,594",,,$859,"$6,869",,,,,,,"$1,294","$10,348",,,$571,"$4,570",,,,,"$11,048"
2003-04,Hope Public Schools,"$3,919","$630,975",$138,"$22,279",$469,"$75,519",,,$846,"$136,159",$604,"$97,215","$1,089","$175,271",$312,"$50,178",$388,"$62,536",,,,$50,"$7,765"
2004-05,Hope Public Schools,"$4,058","$608,671",$171,"$25,582",$509,"$76,346",,,"$1,040","$156,033",$685,"$102,706","$1,396","$209,453",$564,"$84,616",$453,"$67,923",,,,,"$8,876"
2005-06,Hope Public Schools,"$3,951","$606,510",$186,"$28,555",$507,"$77,801",,,"$1,165","$178,837",$714,"$109,560","$1,718","$263,753",$586,"$89,938",$469,"$71,917",,,$26,"$4,000","$9,322"
2006-07,Hope Public Schools,"$4,748","$650,484",$224,"$30,642",$689,"$94,425",,,"$1,210","$165,782",$992,"$135,959","$1,928","$264,123",$743,"$101,775",$552,"$75,616",,,$88,"$12,000","$11,174"
2007-08,Hope Public Schools,"$4,707","$668,328",$255,"$36,193",$727,"$103,216",,,"$1,216","$172,684",$964,"$136,834","$1,903","$270,244",$826,"$117,250",$503,"$71,419",,,$51,"$7,269","$11,152"
2008-09,Hope Public Schools,"$4,780","$695,465",$256,"$37,273",$625,"$90,983",,,"$1,416","$206,092",$983,"$142,969","$1,830","$266,192",$816,"$118,685",$455,"$66,130",,,$21,"$3,000","$11,182"
2009-10,Hope Public Schools,"$4,525","$710,403",$206,"$32,375",$619,"$97,234",$288,"$45,163","$1,195","$187,630",$910,"$142,902","$1,415","$222,120",$825,"$129,520",$389,"$61,067",,,,,"$10,372"
2010-11,Hope Public Schools,"$4,399","$717,068",$130,"$21,211",$671,"$109,388",$271,"$44,158","$1,097","$178,777",$877,"$143,006","$1,336","$217,707",$801,"$130,562",$401,"$65,331",,,,,"$9,983"
2011-12,Hope Public Schools,"$4,104","$705,873",$133,"$22,919",$594,"$102,086",$250,"$43,049",$862,"$148,232",$891,"$153,290","$1,503","$258,507",$881,"$151,525",$353,"$60,645",,,,,"$9,571"
2012-13,Hope Public Schools,"$4,326","$752,723",$149,"$25,900",$608,"$105,861",$226,"$39,289",$898,"$156,166",$953,"$165,801","$1,554","$270,344",$949,"$165,178",$361,"$62,754",,,,,"$10,024"
2013-14,Hope Public Schools,"$4,333","$821,099",$133,"$25,174",$464,"$87,959",$199,"$37,734",$961,"$182,188",$734,"$139,070","$1,785","$338,328",$875,"$165,881",$469,"$88,804",,,,,"$9,953"
2014-15,Hope Public Schools,"$4,914","$869,744",$126,"$22,251",$602,"$106,502",$208,"$36,768","$1,137","$201,298",$823,"$145,748","$1,977","$349,941",$981,"$173,684",$535,"$94,761",,,,,"$11,303"
2003-04,Indian Island,"$6,007","$892,040",,,,,,,"$2,309","$342,840",$949,"$140,884",$499,"$74,141",$474,"$70,359","$1,288","$191,219",$51,"$7,548",$596,"$88,480","$12,173"
2004-05,Indian Island,"$6,461","$894,786",,,$166,"$23,038",,,"$2,085","$288,808","$1,012","$140,161",$762,"$105,489",$606,"$83,913","$1,439","$199,309",$33,"$4,586",$587,"$81,303","$13,151"
2005-06,Indian Island,"$7,279","$997,253",,,$246,"$33,749",,,"$2,437","$333,844","$1,074","$147,139",$514,"$70,392",$709,"$97,166","$1,501","$205,681",,,$601,"$82,273","$14,361"
2006-07,Indian Island,"$7,030","$1,043,934",,,$112,"$16,662",,,"$2,746","$407,822","$1,060","$157,468",$872,"$129,454",$933,"$138,565","$1,445","$214,578",,,$497,"$73,737","$14,695"
2007-08,Indian Island,"$8,526","$1,257,539",$617,"$90,987",$578,"$85,295",,,"$2,813","$414,928","$3,069","$452,702",$835,"$123,202","$1,125","$165,990","$1,871","$275,949",$66,"$9,707",$706,"$104,127","$20,206"
2008-09,Indian Island,"$7,322","$1,098,244",$54,"$8,116",$458,"$68,635",,,"$2,438","$365,684","$3,722","$558,239",$556,"$83,458","$1,212","$181,854","$1,811","$271,702",,,$618,"$92,624","$18,191"
2009-10,Indian Island,"$6,475","$958,230",$581,"$85,916",$521,"$77,125",,,"$2,661","$393,796","$3,356","$496,617",$856,"$126,725","$1,292","$191,257","$1,409","$208,495",,,$540,"$79,971","$17,691"
2010-11,Indian Island,"$6,363","$948,142",$47,"$7,049",$557,"$83,023",,,"$2,569","$382,789","$1,121","$166,987",$60,"$8,945",$710,"$105,742","$1,266","$188,661",,,$649,"$96,684","$13,342"
2011-12,Indian Island,"$7,425","$1,124,855",$56,"$8,450",$322,"$48,753",,,"$2,723","$412,496","$2,853","$432,254","$1,763","$267,122",$751,"$113,811","$1,821","$275,906",,,$819,"$124,133","$18,533"
2013-14,Indian Island,"$8,651","$1,250,119",$262,"$37,829",$864,"$124,772",,,"$3,043","$439,639","$1,345","$194,351","$1,316","$190,125","$1,359","$196,417","$2,231","$322,415",,,$906,"$130,934","$19,977"
2014-15,Indian Island,"$8,483","$1,276,703",$178,"$26,811",$302,"$45,482",,,"$3,481","$523,868","$4,499","$677,019","$1,522","$229,035","$1,477","$222,327","$1,972","$296,708",$22,"$3,251",$626,"$94,132","$22,562"
2003-04,Indian Township,"$6,444","$1,243,640",,,$847,"$163,406",,,"$1,561","$301,247",$736,"$142,005",$735,"$141,921",$416,"$80,237","$1,509","$291,262",$66,"$12,815",$658,"$126,893","$12,972"
2004-05,Indian Township,"$6,743","$1,240,758",$143,"$26,324","$1,275","$234,536",,,"$1,429","$262,866","$1,035","$190,430",$932,"$171,407",$426,"$78,367","$1,606","$295,572",,,$687,"$126,419","$14,276"
2005-06,Indian Township,"$7,237","$1,346,055",,,$884,"$164,422",,,"$2,178","$405,193",$825,"$153,512","$1,189","$221,181",$880,"$163,597","$1,537","$285,917",$55,"$10,256",$808,"$150,219","$15,593"
2006-07,Indian Township,"$8,084","$1,406,660",,,$950,"$165,340",,,"$2,340","$407,103","$1,028","$178,820","$1,582","$275,228",$528,"$91,937","$1,883","$327,677",$71,"$12,345",$604,"$105,012","$17,070"
2007-08,Indian Township,"$7,810","$1,358,967",,"$202,303","$1,051","$182,849",,,"$2,295","$399,365","$3,823","$665,216","$1,517","$263,880",$805,"$140,147","$2,221","$386,391",,,$703,"$122,242","$21,388"
2008-09,Indian Township,"$10,327","$1,466,493",,"$190,974",$686,"$97,369",,,"$2,779","$394,675","$6,102","$866,476","$2,255","$320,234",$914,"$129,818","$2,856","$405,538",,,$793,"$112,654","$28,057"
2009-10,Indian Township,"$7,723","$1,305,146",,"$176,492","$1,020","$172,380",,,"$1,985","$335,395","$4,126","$697,259","$1,929","$325,923",$695,"$117,490","$1,862","$314,690",$42,"$7,128",$844,"$142,676","$21,270"
2010-11,Indian Township,"$8,236","$1,490,636",$67,"$12,193","$1,203","$217,794",,,"$2,185","$395,436","$4,291","$776,590","$1,010","$182,844",$658,"$119,090","$1,850","$334,774",,,,"$185,008","$20,522"
2011-12,Indian Township,"$8,011","$1,570,184",$70,"$13,758","$1,488","$291,694",,,"$1,987","$389,450","$3,379","$662,259","$1,082","$212,014",$782,"$153,184","$1,915","$375,270",$21,"$4,024",$955,"$187,192","$19,690"
2013-14,Indian Township,"$7,980","$1,596,031",$425,"$85,046","$1,097","$219,322",,,"$2,869","$573,878",$917,"$183,328","$1,800","$359,920",$466,"$93,183","$1,948","$389,521",,,$581,"$116,276","$18,083"
2014-15,Indian Township,"$7,613","$1,549,256",$577,"$117,397","$1,078","$219,419",,,"$2,110","$429,287","$4,445","$904,463","$1,721","$350,200",$922,"$187,542","$1,340","$272,642",$42,"$8,546",$689,"$140,135","$20,537"
2003-04,Isle Au Haut Public Schools,"$8,310","$91,410",,,"$1,529","$16,824",,,"$1,467","$16,137",,,,,$18,$200,$760,"$8,362",,,,,"$12,084"
2004-05,Isle Au Haut Public Schools,"$8,449","$97,160",,,"$1,285","$14,781",,,"$1,865","$21,449",,,,,$12,$134,$787,"$9,055",,,,,"$12,398"
2005-06,Isle Au Haut Public Schools,"$8,744","$109,303",,,"$1,442","$18,024",,,"$1,356","$16,955",,,$560,"$6,993",,,$742,"$9,279",,,,,"$12,844"
2006-07,Isle Au Haut Public Schools,"$15,190","$136,708",,,"$3,380","$30,418",,,"$1,849","$16,642",,,"$1,931","$17,383",$32,$292,"$1,087","$9,783",,,,,"$23,469"
2007-08,Isle Au Haut Public Schools,"$10,870","$130,437",,,"$2,603","$31,238",,,"$2,091","$25,096",$71,$855,"$2,695","$32,343",$9,$107,$888,"$10,651",,,,,"$19,227"
2008-09,Isle Au Haut Public Schools,"$11,360","$141,996",,,"$3,101","$38,765",,,"$2,481","$31,010",$70,$873,"$1,781","$22,266",$16,$199,$797,"$9,965",,,,,"$19,606"
2009-10,Isle Au Haut Public Schools,"$14,661","$153,938",,,"$3,805","$39,953",,,"$1,671","$17,542",$84,$884,"$1,678","$17,624",,,$985,"$10,346",,,,,"$22,884"
2010-11,Isle Au Haut Public Schools,"$22,575","$124,165",$127,$698,"$4,858","$26,719",,,"$3,315","$18,230",$147,$809,"$2,408","$13,245",$5,$28,"$1,653","$9,092",,,,,"$35,088"
2011-12,Isle Au Haut Public Schools,"$43,866","$109,666",,,"$7,191","$17,978",,,"$6,828","$17,070",$371,$927,"$7,131","$17,826",$35,$88,"$3,901","$9,752",,,,,"$69,323"
2012-13,Isle Au Haut Public Schools,"$21,775","$108,875",,,"$3,498","$17,488",,,"$4,231","$21,155",$190,$952,"$2,319","$11,596",$7,$34,"$1,964","$9,822",,,,,"$33,984"
2014-15,Isle Au Haut Public Schools,"$22,863","$125,745",,,"$3,215","$17,683",,,"$3,224","$17,729",$137,$752,"$5,698","$31,339",,,"$1,751","$9,633",,,,,"$36,888"
2003-04,Islesboro Public Schools,"$9,004","$652,760",$496,"$35,929",$805,"$58,337",,,"$1,866","$135,305","$1,408","$102,055",$775,"$56,205",$549,"$39,812",$959,"$69,533",$365,"$26,425",$411,"$29,780","$16,638"
2004-05,Islesboro Public Schools,"$8,513","$629,994",$570,"$42,199",$682,"$50,491",,,"$2,039","$150,858","$1,587","$117,426",$919,"$67,969",$512,"$37,912","$1,000","$73,988",$325,"$24,071",$393,"$29,065","$16,540"
2005-06,Islesboro Public Schools,"$8,479","$682,544",$506,"$40,744",$906,"$72,906",,,"$1,901","$153,010","$1,497","$120,520","$1,024","$82,444",$512,"$41,232","$1,020","$82,141",$272,"$21,932",$323,"$25,987","$16,440"
2006-07,Islesboro Public Schools,"$9,318","$712,788",$561,"$42,878",$827,"$63,268",,,"$2,726","$208,529","$1,645","$125,849","$1,028","$78,666",$596,"$45,609","$1,005","$76,906",$337,"$25,756",$431,"$32,970","$18,474"
2007-08,Islesboro Public Schools,"$10,969","$784,313",$687,"$49,101",$745,"$53,240",,,"$2,010","$143,681","$1,822","$130,304","$1,085","$77,571",$652,"$46,580","$1,091","$77,992",$451,"$32,216",$558,"$39,894","$20,070"
2008-09,Islesboro Public Schools,"$10,787","$814,436",$645,"$48,693",$705,"$53,226",,,"$2,158","$162,911","$1,847","$139,477","$1,121","$84,608",$724,"$54,639","$1,546","$116,689",$452,"$34,160",$511,"$38,549","$20,496"
2009-10,Islesboro Public Schools,"$11,304","$791,281",$739,"$51,741",$728,"$50,983",,,"$4,853","$339,741","$2,059","$144,134","$1,358","$95,059",$800,"$55,988","$1,654","$115,806",$640,"$44,826",,,"$24,135"
2010-11,Islesboro Public Schools,"$12,431","$857,770",$707,"$48,757",$737,"$50,856",,,"$8,053","$555,639","$1,808","$124,736","$1,599","$110,305",$846,"$58,363","$1,628","$112,329",$681,"$46,989",$595,"$41,023","$29,085"
2011-12,Islesboro Public Schools,"$12,174","$852,183",$908,"$63,592",$567,"$39,694",,,"$8,933","$625,326","$2,088","$146,135","$1,994","$139,597",$817,"$57,208","$1,726","$120,814",$609,"$42,625",$634,"$44,354","$30,450"
2012-13,Islesboro Public Schools,"$9,670","$759,119",$855,"$67,111",$541,"$42,481",,,"$7,704","$604,764","$1,776","$139,424","$2,123","$166,646","$1,058","$83,034","$1,539","$120,827",$612,"$48,058",,,"$25,878"
2013-14,Islesboro Public Schools,"$12,200","$841,772",$961,"$66,272",$869,"$59,976",,,"$8,398","$579,488","$2,052","$141,587","$2,623","$180,972","$1,110","$76,588","$2,229","$153,813",$815,"$56,234",$760,"$52,438","$32,017"
2014-15,Islesboro Public Schools,"$12,229","$868,284",$982,"$69,722",$984,"$69,832",,,"$7,393","$524,888","$2,051","$145,602","$2,753","$195,471","$1,153","$81,850","$2,195","$155,864",$780,"$55,402",$763,"$54,184","$31,283"
2003-04,Jay School Department,"$5,140","$4,587,700",$229,"$204,021",$559,"$498,998",$851,"$759,106","$1,177","$1,050,718",$361,"$322,335","$1,550","$1,383,426",$651,"$581,190",$357,"$318,860",,,$155,"$138,644","$11,030"
2004-05,Jay School Department,"$5,455","$4,660,839",$239,"$204,462",$566,"$483,296",$862,"$736,422","$1,329","$1,135,715",$642,"$548,790","$1,452","$1,240,845",$501,"$428,471",$322,"$275,401",,,$97,"$82,955","$11,465"
2005-06,Jay School Department,"$5,398","$4,363,876",$228,"$184,278",$750,"$606,111",$883,"$713,738","$1,405","$1,135,698",$708,"$572,249","$1,559","$1,260,735","$1,270","$1,026,774",$360,"$290,859",,,$74,"$60,000","$12,635"
2006-07,Jay School Department,"$5,022","$4,205,800",$268,"$224,340",$537,"$449,921",$824,"$690,045","$1,481","$1,240,615",$625,"$523,317","$1,567","$1,312,711","$1,284","$1,075,698",$350,"$292,939",,,$48,"$40,000","$12,006"
2007-08,Jay School Department,"$5,206","$4,029,649",$324,"$251,003",$599,"$463,436",$830,"$642,384","$1,401","$1,084,425",$706,"$546,794","$1,513","$1,171,309","$1,206","$933,741",$351,"$271,952",,,$52,"$40,000","$12,188"
2008-09,Jay School Department,"$5,536","$4,229,806",$369,"$282,194",$621,"$474,164",$822,"$628,197","$1,587","$1,212,359",$642,"$490,321","$1,581","$1,207,853","$1,140","$870,933",$309,"$236,376",,,$13,"$10,000","$12,620"
2009-10,Jay School Department,"$5,117","$3,875,848",$301,"$227,857",$572,"$433,121",$803,"$608,003","$1,610","$1,219,588",$540,"$409,301","$1,485","$1,124,990","$1,218","$922,484",$353,"$267,391",,,$9,"$6,634","$12,008"
2010-11,Jay School Department,"$5,192","$3,754,034",$284,"$205,078",$543,"$392,870",$814,"$588,276","$1,737","$1,255,698",$620,"$448,311","$1,471","$1,063,305","$1,217","$880,173",$431,"$311,281",,,,,"$12,309"
2003-04,Jefferson Public Schools,"$4,969","$1,846,072",$59,"$21,851",$506,"$188,130",,,$782,"$290,327",$461,"$171,272","$1,351","$501,969",$256,"$94,998",$256,"$94,930",$23,"$8,477",$101,"$37,350","$8,764"
2004-05,Jefferson Public Schools,"$5,162","$1,827,314",$72,"$25,361",$613,"$217,106",,,$792,"$280,263",$512,"$181,294","$1,535","$543,510",$237,"$83,760",$284,"$100,484",$35,"$12,342",$59,"$21,038","$9,301"
2005-06,Jefferson Public Schools,"$5,460","$1,973,918",$77,"$27,713",$698,"$252,466",,,$821,"$296,797",$416,"$150,512","$1,678","$606,628",$236,"$85,426",$300,"$108,355",$46,"$16,626",$138,"$49,945","$9,870"
2006-07,Jefferson Public Schools,"$5,840","$2,093,789",$76,"$27,262",$812,"$291,071",,,$782,"$280,453",$405,"$145,136","$1,667","$597,444",$395,"$141,756",$383,"$137,135",$49,"$17,598",$90,"$32,086","$10,499"
2007-08,Jefferson Public Schools,"$6,534","$2,211,648",$136,"$45,878",$976,"$330,212",$101,"$34,250",$799,"$270,405",$433,"$146,531","$1,896","$641,830",$462,"$156,414",$405,"$137,174",$78,"$26,542",$194,"$65,552","$12,014"
2008-09,Jefferson Public Schools,"$6,743","$2,184,788",$109,"$35,440","$1,055","$341,720",$304,"$98,350",$878,"$284,461",$451,"$145,972","$2,006","$649,788",$387,"$125,425",$456,"$147,772",$56,"$18,280",$190,"$61,622","$12,635"
2009-10,Jefferson Public Schools,"$6,844","$2,135,161",$68,"$21,340",$874,"$272,798",,,$609,"$189,985",$453,"$141,231","$1,839","$573,829",$537,"$167,577",$288,"$89,967",$109,"$34,097",$13,"$4,170","$11,634"
2010-11,Jefferson Public Schools,"$7,010","$2,131,162",$78,"$23,691","$1,219","$370,490",,,$622,"$189,172",$456,"$138,709","$1,936","$588,385",$472,"$143,387",$112,"$33,982",$117,"$35,610",$53,"$16,000","$12,075"
2011-12,Jefferson Public Schools,"$6,817","$2,062,217",$90,"$27,224","$1,366","$413,325",,,"$3,078","$931,215",$473,"$143,060","$1,999","$604,577",$527,"$159,353",$287,"$86,736",$61,"$18,573",$24,"$7,144","$14,722"
2012-13,Jefferson Public Schools,"$7,019","$2,077,735",$81,"$24,081","$1,260","$373,039",,,"$5,060","$1,497,640",$491,"$145,217","$2,208","$653,410",$516,"$152,578",$298,"$88,168",$258,"$76,217",$39,"$11,598","$17,230"
2013-14,Jefferson Public Schools,"$6,232","$1,850,923",$79,"$23,333","$1,210","$359,292",,,"$4,837","$1,436,443",$519,"$154,218","$2,300","$683,098",$477,"$141,717",$377,"$112,049",$26,"$7,600",$36,"$10,596","$16,093"
2014-15,Jefferson Public Schools,"$6,794","$2,068,871",$85,"$26,002","$1,404","$427,395",,,"$4,662","$1,419,495",$528,"$160,789","$2,609","$794,307",$482,"$146,612",$285,"$86,672",$14,"$4,300",$34,"$10,289","$16,897"
2003-04,Jonesboro Public Schools,"$5,490","$559,997",,,$839,"$85,548",,,$736,"$75,076",$80,"$8,163",$587,"$59,851",$15,"$1,482",$853,"$86,980",,,$29,"$3,000","$8,629"
2004-05,Jonesboro Public Schools,"$5,215","$521,456",,,$920,"$91,948",,,$780,"$77,974",$105,"$10,521",$838,"$83,805",$120,"$11,980",$476,"$47,620",,,$36,"$3,611","$8,490"
2005-06,Jonesboro Public Schools,"$5,837","$566,188",$13,"$1,299",$440,"$42,651",,,$835,"$81,028",$135,"$13,048",$893,"$86,583",$228,"$22,076",$428,"$41,497",,,$31,"$3,000","$8,840"
2006-07,Jonesboro Public Schools,"$5,903","$548,993",$14,"$1,309",$548,"$50,977",,,$924,"$85,946",$128,"$11,902",$951,"$88,395",$76,"$7,096",$465,"$43,283",,,$2,$226,"$9,011"
2007-08,Jonesboro Public Schools,"$6,133","$558,102",$5,$447,$682,"$62,051",,,$945,"$86,007",$178,"$16,159","$1,032","$93,893",$156,"$14,166",$444,"$40,361",,,$44,"$4,000","$9,619"
2008-09,Jonesboro Public Schools,"$6,913","$553,064",$58,"$4,643",$533,"$42,598",,,"$1,176","$94,047",$214,"$17,087","$1,010","$80,764",$293,"$23,441",$450,"$36,031",$49,"$3,927",$50,"$4,000","$10,746"
2009-10,Jonesboro Public Schools,"$6,759","$574,482",$14,"$1,218",$705,"$59,943",,,"$1,096","$93,168",$239,"$20,280","$1,195","$101,538",$299,"$25,444",$553,"$46,973",$6,$523,,,"$10,866"
2010-11,Jonesboro Public Schools,"$6,725","$524,509",$7,$550,$539,"$42,012",,,$986,"$76,944",$225,"$17,581","$1,021","$79,619",$307,"$23,911",$398,"$31,048",$26,"$2,048",$77,"$6,000","$10,311"
2011-12,Jonesboro Public Schools,"$6,865","$549,177",$77,"$6,145",$458,"$36,622",,,$768,"$61,473",$227,"$18,123","$1,194","$95,550",$27,"$2,140",$389,"$31,114",,,$109,"$8,750","$10,114"
2012-13,Jonesboro Public Schools,"$6,933","$558,133",$95,"$7,637",$439,"$35,312",,,"$1,047","$84,261",$245,"$19,704","$1,003","$80,766",$51,"$4,107",$374,"$30,070",,,$75,"$6,000","$10,262"
2013-14,Jonesboro Public Schools,"$6,458","$523,089",$36,"$2,923",$393,"$31,802",,,$946,"$76,597",$222,"$17,945","$1,558","$126,226",$40,"$3,234",$442,"$35,770",,,$74,"$6,000","$10,169"
2014-15,Jonesboro Public Schools,"$6,752","$567,176",$30,"$2,551",$630,"$52,899",,,$839,"$70,474",$224,"$18,775","$1,661","$139,519",$221,"$18,562",$425,"$35,674",,,$95,"$8,000","$10,877"
2003-04,Jonesport Public Schools,"$3,173","$431,462",$70,"$9,496",$268,"$36,482","$1,096","$149,027","$1,065","$144,900",$684,"$93,037",$744,"$101,199",$124,"$16,809",$604,"$82,083",,,$103,"$14,042","$7,931"
2004-05,Jonesport Public Schools,"$3,417","$430,522",$50,"$6,319",$193,"$24,259","$1,127","$141,958","$1,319","$166,173",$687,"$86,495",$510,"$64,200",$132,"$16,670",$559,"$70,444",,,$131,"$16,509","$8,125"
2005-06,Jonesport Public Schools,"$3,686","$436,747",$52,"$6,170",$228,"$26,999","$1,138","$134,808","$1,658","$196,509",$749,"$88,710",$195,"$23,104",$217,"$25,681",$677,"$80,203",,,$196,"$23,210","$8,796"
2006-07,Jonesport Public Schools,"$3,536","$404,893",$58,"$6,672",$237,"$27,173",,,"$2,132","$244,122",$809,"$92,594",$274,"$31,314",$331,"$37,852",$735,"$84,201",,,$210,"$24,008","$8,322"
2007-08,Jonesport Public Schools,"$3,863","$434,591",$101,"$11,371",$226,"$25,439",,,"$1,268","$142,702",$437,"$49,171",$572,"$64,362",$155,"$17,436",$737,"$82,915",,,$650,"$73,106","$8,009"
2008-09,Jonesport Public Schools,"$3,852","$427,606",$131,"$14,569",$209,"$23,195",,,"$1,772","$196,646",$427,"$47,431",$790,"$87,650",$207,"$22,967",$668,"$74,120",,,$136,"$15,045","$8,192"
2009-10,Jonesport Public Schools,"$3,722","$522,987",$114,"$15,969",$159,"$22,345",,,"$1,049","$147,428",$374,"$52,488",$838,"$117,667",$233,"$32,750",$487,"$68,422",,,,,"$6,976"
2010-11,Jonesport Public Schools,"$3,820","$523,367",$120,"$16,487",$144,"$19,738",,,"$1,358","$186,000",$698,"$95,633",$773,"$105,930",$196,"$26,802",$513,"$70,302",,,$66,"$9,011","$7,688"
2011-12,Jonesport Public Schools,"$4,171","$517,139",$112,"$13,831",$166,"$20,595",,,"$1,579","$195,805",$805,"$99,858","$1,239","$153,645",$213,"$26,413",$498,"$61,790",,,$130,"$16,085","$8,913"
2012-13,Jonesport Public Schools,"$4,063","$542,348",$115,"$15,317",$154,"$20,508",,,"$1,327","$177,120",$758,"$101,194","$1,103","$147,289",$211,"$28,173",$548,"$73,155",,,$125,"$16,696","$8,404"
2013-14,Jonesport Public Schools,"$4,545","$563,622",$120,"$14,827",$205,"$25,406",,,"$1,953","$242,179",$872,"$108,064","$1,143","$141,733",$192,"$23,801",$708,"$87,736",,,$252,"$31,285","$9,990"
2014-15,Jonesport Public Schools,"$4,410","$566,665",$126,"$16,231",$224,"$28,782",,,"$1,905","$244,845",$799,"$102,705","$1,259","$161,778",$94,"$12,081",$768,"$98,702",,,$198,"$25,500","$9,783"
2003-04,Kingsbury Plt Public Schools,,,,,,,,,,,,,,,,,,"$1,011",,,,,$0
2004-05,Kingsbury Plt Public Schools,,,,,,,,,,,,,,,,,,"$1,148",,,,,$0
2005-06,Kingsbury Plt Public Schools,,,,,,,,,,,,,,,,,"$1,263","$1,263",,,,,"$1,263"
2006-07,Kingsbury Plt Public Schools,,,,,,,,,,,,,,,,,"$1,319","$1,319",,,,,"$1,319"
2007-08,Kingsbury Plt Public Schools,,,,,,,,,,,,,,,,,,$975,,,,,$0
2008-09,Kingsbury Plt Public Schools,,,,,,,,,,,,,,,,,,$999,,,,,$0
2009-10,Kingsbury Plt Public Schools,,,,,,,,,,,,,,,,,,"$1,118",,,,,$0
2010-11,Kingsbury Plt Public Schools,,,,,,,,,,,,,,,,,,"$1,207",,,,,$0
2011-12,Kingsbury Plt Public Schools,"$9,080","$4,540",,,,,,,,,,,$125,$63,,,"$2,213","$1,107",,,,,"$11,418"
2012-13,Kingsbury Plt Public Schools,,,,,,,,,,,,,,$62,,,,"$1,182",,,,,$0
2013-14,Kingsbury Plt Public Schools,,,,,,,,,,,,,,$67,,,,"$1,237",,,,,$0
2014-15,Kingsbury Plt Public Schools,,,,,,,,,,,,,,$61,,,,"$1,279",,,,,$0
2003-04,Kittery Public Schools,"$3,914","$4,595,207",$190,"$222,562",$358,"$420,694","$1,489","$1,748,129",$663,"$777,995",$507,"$595,164","$1,310","$1,538,183",$763,"$895,915",$928,"$1,089,923",,,$9,"$10,000","$10,131"
2004-05,Kittery Public Schools,"$4,416","$4,950,667",$185,"$207,710",$394,"$441,319","$1,457","$1,633,128",$864,"$968,837",$462,"$517,597","$1,258","$1,410,733","$1,221","$1,369,027",$687,"$769,711",,,$30,"$34,000","$10,974"
2005-06,Kittery Public Schools,"$4,628","$5,023,776",$190,"$206,322",$418,"$453,875","$1,516","$1,645,595","$1,214","$1,317,697",$474,"$514,409","$1,727","$1,874,659",$926,"$1,005,091",$797,"$864,919",,,,,"$11,890"
